relationship_id,case_id,source_entity_id,source_entity_type,relationship_type,target_entity_id,target_entity_type,start_time,end_time,confidence,source_document_id,verified,verification_status
REL0000074,C000074,C000074,Case,INVOLVES,P001731,Person,2022-12-06 11:16:00,,0.981,DOC000074,true,Verified
REL0000075,C000075,C000075,Case,INVOLVES,P001245,Person,2018-01-11 20:31:00,,0.927,DOC000075,false,Review Required
REL0000076,C000076,C000076,Case,INVOLVES,P002963,Person,2020-05-22 14:37:00,,0.985,DOC000076,true,Verified
REL0000077,C000077,C000077,Case,INVOLVES,P004084,Person,2021-12-28 22:57:00,,0.935,DOC000077,false,Review Required
REL0000078,C000078,C000078,Case,INVOLVES,P006557,Person,2019-01-07 12:14:00,,0.951,DOC000078,true,Verified
REL0000079,C000079,C000079,Case,INVOLVES,P003730,Person,2023-12-09 13:50:00,,0.936,DOC000079,false,Review Required
REL0000080,C000080,C000080,Case,INVOLVES,P005484,Person,2023-02-03 14:19:00,,0.944,DOC000080,false,Review Required
REL0000081,C000081,C000081,Case,INVOLVES,P000767,Person,2024-04-07 18:32:00,,0.95,DOC000081,true,Verified
REL0000082,C000082,C000082,Case,INVOLVES,P004704,Person,2024-03-07 12:56:00,,0.982,DOC000082,true,Verified
REL0000083,C000083,C000083,Case,INVOLVES,P003655,Person,2023-02-27 19:46:00,,0.946,DOC000083,false,Review Required
REL0000084,C000084,C000084,Case,INVOLVES,P001789,Person,2024-05-04 12:24:00,,0.952,DOC000084,true,Verified
REL0000085,C000085,C000085,Case,INVOLVES,P006000,Person,2023-12-04 20:21:00,,0.956,DOC000085,true,Verified
REL0000086,C000086,C000086,Case,INVOLVES,P006350,Person,2019-07-28 17:33:00,,0.953,DOC000086,true,Verified
REL0000087,C000087,C000087,Case,INVOLVES,P000143,Person,2024-06-25 22:33:00,,0.927,DOC000087,false,Review Required
REL0000088,C000088,C000088,Case,INVOLVES,P006937,Person,2021-09-13 18:46:00,,0.907,DOC000088,false,Review Required
REL0000089,C000089,C000089,Case,INVOLVES,P004600,Person,2021-03-16 12:37:00,,0.92,DOC000089,false,Review Required
REL0000090,C000090,C000090,Case,INVOLVES,P000334,Person,2019-04-20 20:03:00,,0.958,DOC000090,true,Verified
REL0000091,C000091,C000091,Case,INVOLVES,P000878,Person,2022-06-18 20:09:00,,0.963,DOC000091,true,Verified
REL0000092,C000092,C000092,Case,INVOLVES,P004325,Person,2023-07-23 18:57:00,,0.944,DOC000092,false,Review Required
REL0000093,C000093,C000093,Case,INVOLVES,P000089,Person,2019-04-15 09:02:00,,0.914,DOC000093,false,Review Required
REL0000094,C000094,C000094,Case,INVOLVES,P006717,Person,2019-12-22 20:58:00,,0.977,DOC000094,true,Verified
REL0000095,C000095,C000095,Case,INVOLVES,P005524,Person,2021-05-19 15:24:00,,0.981,DOC000095,true,Verified
REL0000096,C000096,C000096,Case,INVOLVES,P003175,Person,2018-02-02 19:43:00,,0.954,DOC000096,true,Verified
REL0000097,C000097,C000097,Case,INVOLVES,P003764,Person,2022-08-01 13:30:00,,0.908,DOC000097,false,Review Required
REL0000098,C000098,C000098,Case,INVOLVES,P006663,Person,2022-11-08 23:07:00,,0.916,DOC000098,false,Review Required
REL0000099,C000099,C000099,Case,INVOLVES,P003272,Person,2020-03-03 08:37:00,,0.931,DOC000099,false,Review Required
REL0000100,C000100,C000100,Case,INVOLVES,P001585,Person,2020-09-29 11:36:00,,0.915,DOC000100,false,Review Required
REL0000101,C000101,C000101,Case,INVOLVES,P005377,Person,2022-03-26 11:43:00,,0.988,DOC000101,true,Verified
REL0000102,C000102,C000102,Case,INVOLVES,P005510,Person,2023-01-27 12:54:00,,0.976,DOC000102,true,Verified
REL0000103,C000103,C000103,Case,INVOLVES,P004218,Person,2021-02-17 17:32:00,,0.912,DOC000103,false,Review Required
REL0000104,C000104,C000104,Case,INVOLVES,P004698,Person,2022-04-02 16:35:00,,0.986,DOC000104,true,Verified
REL0000105,C000105,C000105,Case,INVOLVES,P003290,Person,2021-12-06 14:31:00,,0.978,DOC000105,true,Verified
REL0000106,C000106,C000106,Case,INVOLVES,P005383,Person,2019-01-03 19:57:00,,0.91,DOC000106,false,Review Required
REL0000107,C000107,C000107,Case,INVOLVES,P001339,Person,2020-10-30 07:01:00,,0.926,DOC000107,false,Review Required
REL0000108,C000108,C000108,Case,INVOLVES,P006531,Person,2021-02-16 14:10:00,,0.917,DOC000108,false,Review Required
REL0000109,C000109,C000109,Case,INVOLVES,P001417,Person,2024-05-30 15:02:00,,0.986,DOC000109,true,Verified
REL0000110,C000110,C000110,Case,INVOLVES,P003664,Person,2024-01-05 16:32:00,,0.909,DOC000110,false,Review Required
REL0000111,C000111,C000111,Case,INVOLVES,P003452,Person,2021-03-29 22:14:00,,0.94,DOC000111,false,Review Required
REL0000112,C000112,C000112,Case,INVOLVES,P005159,Person,2018-10-07 15:51:00,,0.907,DOC000112,false,Review Required
REL0000113,C000113,C000113,Case,INVOLVES,P000527,Person,2024-04-24 20:46:00,,0.944,DOC000113,false,Review Required
REL0000114,C000114,C000114,Case,INVOLVES,P000868,Person,2021-01-03 13:21:00,,0.905,DOC000114,false,Review Required
REL0000115,C000115,C000115,Case,INVOLVES,P003481,Person,2019-04-30 19:20:00,,0.932,DOC000115,false,Review Required
REL0000116,C000116,C000116,Case,INVOLVES,P000213,Person,2021-12-07 13:02:00,,0.978,DOC000116,true,Verified
REL0000117,C000117,C000117,Case,INVOLVES,P000842,Person,2024-02-25 13:53:00,,0.961,DOC000117,true,Verified
REL0000118,C000118,C000118,Case,INVOLVES,P002174,Person,2022-07-26 19:13:00,,0.988,DOC000118,true,Verified
REL0000119,C000119,C000119,Case,INVOLVES,P005924,Person,2019-11-12 18:12:00,,0.99,DOC000119,true,Verified
REL0000120,C000120,C000120,Case,INVOLVES,P004777,Person,2018-05-28 07:21:00,,0.902,DOC000120,false,Review Required
REL0000121,C000121,C000121,Case,INVOLVES,P004546,Person,2021-11-29 00:56:00,,0.952,DOC000121,true,Verified
REL0000122,C000122,C000122,Case,INVOLVES,P000213,Person,2022-01-11 08:24:00,,0.939,DOC000122,false,Review Required
REL0000123,C000123,C000123,Case,INVOLVES,P004035,Person,2022-01-31 22:30:00,,0.953,DOC000123,true,Verified
REL0000124,C000124,C000124,Case,INVOLVES,P001196,Person,2019-10-06 19:51:00,,0.965,DOC000124,true,Verified
REL0000125,C000125,C000125,Case,INVOLVES,P003074,Person,2024-04-13 18:17:00,,0.966,DOC000125,true,Verified
REL0000126,C000126,C000126,Case,INVOLVES,P000251,Person,2022-07-10 10:10:00,,0.984,DOC000126,true,Verified
REL0000127,C000127,C000127,Case,INVOLVES,P003190,Person,2023-03-28 22:36:00,,0.929,DOC000127,false,Review Required
REL0000128,C000128,C000128,Case,INVOLVES,P001930,Person,2024-01-12 11:22:00,,0.98,DOC000128,true,Verified
REL0000129,C000129,C000129,Case,INVOLVES,P004201,Person,2022-06-18 23:46:00,,0.912,DOC000129,false,Review Required
REL0000130,C000130,C000130,Case,INVOLVES,P000980,Person,2020-04-06 08:09:00,,0.965,DOC000130,true,Verified
REL0000131,C000131,C000131,Case,INVOLVES,P003554,Person,2021-03-16 14:34:00,,0.964,DOC000131,true,Verified
REL0000132,C000132,C000132,Case,INVOLVES,P005327,Person,2023-11-16 12:20:00,,0.901,DOC000132,false,Review Required
REL0000133,C000133,C000133,Case,INVOLVES,P003805,Person,2018-11-20 12:17:00,,0.947,DOC000133,false,Review Required
REL0000134,C000134,C000134,Case,INVOLVES,P006122,Person,2021-05-31 20:12:00,,0.915,DOC000134,false,Review Required
REL0000135,C000135,C000135,Case,INVOLVES,P000696,Person,2023-10-11 07:30:00,,0.909,DOC000135,false,Review Required
REL0000136,C000136,C000136,Case,INVOLVES,P001242,Person,2020-11-11 11:09:00,,0.95,DOC000136,true,Verified
REL0000137,C000137,C000137,Case,INVOLVES,P001946,Person,2018-08-12 05:03:00,,0.988,DOC000137,true,Verified
REL0000138,C000138,C000138,Case,INVOLVES,P000355,Person,2023-05-28 13:34:00,,0.925,DOC000138,false,Review Required
REL0000139,C000139,C000139,Case,INVOLVES,P006919,Person,2022-07-12 15:07:00,,0.932,DOC000139,false,Review Required
REL0000140,C000140,C000140,Case,INVOLVES,P005416,Person,2020-12-05 13:24:00,,0.973,DOC000140,true,Verified
REL0000141,C000141,C000141,Case,INVOLVES,P006897,Person,2019-11-08 19:46:00,,0.964,DOC000141,true,Verified
REL0000142,C000142,C000142,Case,INVOLVES,P005258,Person,2019-11-28 13:46:00,,0.977,DOC000142,true,Verified
REL0000143,C000143,C000143,Case,INVOLVES,P000434,Person,2021-10-03 21:39:00,,0.906,DOC000143,false,Review Required
REL0000144,C000144,C000144,Case,INVOLVES,P003925,Person,2021-07-05 11:08:00,,0.977,DOC000144,true,Verified
REL0000145,C000145,C000145,Case,INVOLVES,P001536,Person,2019-06-26 07:14:00,,0.984,DOC000145,true,Verified
REL0000146,C000146,C000146,Case,INVOLVES,P000823,Person,2024-01-14 21:41:00,,0.909,DOC000146,false,Review Required
REL0000147,C000147,C000147,Case,INVOLVES,P002131,Person,2022-03-19 09:30:00,,0.969,DOC000147,true,Verified
REL0000148,C000148,C000148,Case,INVOLVES,P003680,Person,2022-04-16 23:32:00,,0.917,DOC000148,false,Review Required
REL0000149,C000149,C000149,Case,INVOLVES,P005716,Person,2021-08-08 07:46:00,,0.983,DOC000149,true,Verified
REL0000150,C000150,C000150,Case,INVOLVES,P003035,Person,2022-01-22 11:10:00,,0.937,DOC000150,false,Review Required
REL0000151,C000151,C000151,Case,INVOLVES,P004073,Person,2019-06-07 08:52:00,,0.961,DOC000151,true,Verified
REL0000152,C000152,C000152,Case,INVOLVES,P006925,Person,2020-09-26 21:08:00,,0.988,DOC000152,true,Verified
REL0000153,C000153,C000153,Case,INVOLVES,P006561,Person,2020-04-20 12:30:00,,0.95,DOC000153,true,Verified
REL0000154,C000154,C000154,Case,INVOLVES,P004954,Person,2023-01-10 22:15:00,,0.98,DOC000154,true,Verified
REL0000155,C000155,C000155,Case,INVOLVES,P002366,Person,2023-07-27 11:41:00,,0.965,DOC000155,true,Verified
REL0000156,C000156,C000156,Case,INVOLVES,P000587,Person,2019-03-07 09:04:00,,0.966,DOC000156,true,Verified
REL0000157,C000157,C000157,Case,INVOLVES,P004151,Person,2018-11-01 16:46:00,,0.984,DOC000157,true,Verified
REL0000158,C000158,C000158,Case,INVOLVES,P002859,Person,2018-07-25 15:07:00,,0.974,DOC000158,true,Verified
REL0000159,C000159,C000159,Case,INVOLVES,P004873,Person,2024-02-08 09:17:00,,0.969,DOC000159,true,Verified
REL0000160,C000160,C000160,Case,INVOLVES,P001338,Person,2018-04-20 08:13:00,,0.946,DOC000160,false,Review Required
REL0000161,C000161,C000161,Case,INVOLVES,P005846,Person,2023-01-05 15:19:00,,0.985,DOC000161,true,Verified
REL0000162,C000162,C000162,Case,INVOLVES,P003816,Person,2022-12-18 17:36:00,,0.962,DOC000162,true,Verified
REL0000163,C000163,C000163,Case,INVOLVES,P006902,Person,2019-01-15 09:22:00,,0.975,DOC000163,true,Verified
REL0000164,C000164,C000164,Case,INVOLVES,P001895,Person,2023-06-23 19:42:00,,0.984,DOC000164,true,Verified
REL0000165,C000165,C000165,Case,INVOLVES,P006117,Person,2022-02-19 11:30:00,,0.987,DOC000165,true,Verified
REL0000166,C000166,C000166,Case,INVOLVES,P003118,Person,2020-10-09 21:24:00,,0.919,DOC000166,false,Review Required
REL0000167,C000167,C000167,Case,INVOLVES,P004418,Person,2022-05-19 15:24:00,,0.932,DOC000167,false,Review Required
REL0000168,C000168,C000168,Case,INVOLVES,P003822,Person,2024-05-11 18:25:00,,0.972,DOC000168,true,Verified
REL0000169,C000169,C000169,Case,INVOLVES,P006705,Person,2020-01-19 21:50:00,,0.952,DOC000169,true,Verified
REL0000170,C000170,C000170,Case,INVOLVES,P004091,Person,2022-03-31 15:50:00,,0.925,DOC000170,false,Review Required
REL0000171,C000171,C000171,Case,INVOLVES,P000255,Person,2021-02-19 09:47:00,,0.93,DOC000171,false,Review Required
REL0000172,C000172,C000172,Case,INVOLVES,P001782,Person,2019-09-23 13:58:00,,0.988,DOC000172,true,Verified
REL0000173,C000173,C000173,Case,INVOLVES,P004132,Person,2019-09-10 15:14:00,,0.958,DOC000173,true,Verified
REL0000174,C000174,C000174,Case,INVOLVES,P002130,Person,2022-04-08 20:02:00,,0.948,DOC000174,false,Review Required
REL0000175,C000175,C000175,Case,INVOLVES,P001783,Person,2020-10-29 13:37:00,,0.926,DOC000175,false,Review Required
REL0000176,C000176,C000176,Case,INVOLVES,P006639,Person,2020-10-30 22:23:00,,0.963,DOC000176,true,Verified
REL0000177,C000177,C000177,Case,INVOLVES,P005279,Person,2022-09-09 13:00:00,,0.926,DOC000177,false,Review Required
REL0000178,C000178,C000178,Case,INVOLVES,P005467,Person,2021-06-10 17:09:00,,0.971,DOC000178,true,Verified
REL0000179,C000179,C000179,Case,INVOLVES,P006504,Person,2023-07-16 19:46:00,,0.914,DOC000179,false,Review Required
REL0000180,C000180,C000180,Case,INVOLVES,P006234,Person,2021-11-19 06:28:00,,0.968,DOC000180,true,Verified
REL0000181,C000181,C000181,Case,INVOLVES,P000561,Person,2018-11-13 18:04:00,,0.942,DOC000181,false,Review Required
REL0000182,C000182,C000182,Case,INVOLVES,P006006,Person,2023-06-21 07:21:00,,0.914,DOC000182,false,Review Required
REL0000183,C000183,C000183,Case,INVOLVES,P002133,Person,2024-03-13 09:19:00,,0.988,DOC000183,true,Verified
REL0000184,C000184,C000184,Case,INVOLVES,P006553,Person,2023-08-13 10:09:00,,0.942,DOC000184,false,Review Required
REL0000185,C000185,C000185,Case,INVOLVES,P001855,Person,2022-08-31 02:42:00,,0.932,DOC000185,false,Review Required
REL0000186,C000186,C000186,Case,INVOLVES,P003095,Person,2022-12-18 14:38:00,,0.934,DOC000186,false,Review Required
REL0000187,C000187,C000187,Case,INVOLVES,P002069,Person,2019-11-11 21:37:00,,0.969,DOC000187,true,Verified
REL0000188,C000188,C000188,Case,INVOLVES,P001652,Person,2018-04-21 10:56:00,,0.947,DOC000188,false,Review Required
REL0000189,C000189,C000189,Case,INVOLVES,P002133,Person,2022-04-18 02:59:00,,0.943,DOC000189,false,Review Required
REL0000190,C000190,C000190,Case,INVOLVES,P002511,Person,2022-01-12 08:30:00,,0.986,DOC000190,true,Verified
REL0000191,C000191,C000191,Case,INVOLVES,P006914,Person,2024-03-27 11:24:00,,0.953,DOC000191,true,Verified
REL0000192,C000192,C000192,Case,INVOLVES,P004962,Person,2020-10-13 19:07:00,,0.978,DOC000192,true,Verified
REL0000193,C000193,C000193,Case,INVOLVES,P006371,Person,2020-08-26 10:24:00,,0.909,DOC000193,false,Review Required
REL0000194,C000194,C000194,Case,INVOLVES,P002360,Person,2023-07-03 21:16:00,,0.921,DOC000194,false,Review Required
REL0000195,C000195,C000195,Case,INVOLVES,P003358,Person,2022-07-18 05:36:00,,0.949,DOC000195,false,Review Required
REL0000196,C000196,C000196,Case,INVOLVES,P004766,Person,2018-10-23 08:30:00,,0.976,DOC000196,true,Verified
REL0000197,C000197,C000197,Case,INVOLVES,P000887,Person,2020-11-13 19:22:00,,0.925,DOC000197,false,Review Required
REL0000198,C000198,C000198,Case,INVOLVES,P001085,Person,2020-12-04 03:59:00,,0.902,DOC000198,false,Review Required
REL0000199,C000199,C000199,Case,INVOLVES,P003113,Person,2022-08-21 15:36:00,,0.977,DOC000199,true,Verified
REL0000200,C000200,C000200,Case,INVOLVES,P004404,Person,2024-05-17 05:11:00,,0.912,DOC000200,false,Review Required
REL0000201,C000201,C000201,Case,INVOLVES,P001333,Person,2022-09-16 12:00:00,,0.983,DOC000201,true,Verified
REL0000202,C000202,C000202,Case,INVOLVES,P002848,Person,2018-02-03 02:53:00,,0.984,DOC000202,true,Verified
REL0000203,C000203,C000203,Case,INVOLVES,P000353,Person,2020-06-27 10:08:00,,0.926,DOC000203,false,Review Required
REL0000204,C000204,C000204,Case,INVOLVES,P004340,Person,2024-02-17 14:30:00,,0.968,DOC000204,true,Verified
REL0000205,C000205,C000205,Case,INVOLVES,P003929,Person,2018-04-20 10:19:00,,0.966,DOC000205,true,Verified
REL0000206,C000206,C000206,Case,INVOLVES,P005504,Person,2021-10-02 19:06:00,,0.99,DOC000206,true,Verified
REL0000207,C000207,C000207,Case,INVOLVES,P002396,Person,2023-04-27 08:57:00,,0.948,DOC000207,false,Review Required
REL0000208,C000208,C000208,Case,INVOLVES,P005359,Person,2021-03-20 22:05:00,,0.916,DOC000208,false,Review Required
REL0000209,C000209,C000209,Case,INVOLVES,P006436,Person,2022-06-17 22:45:00,,0.931,DOC000209,false,Review Required
REL0000210,C000210,C000210,Case,INVOLVES,P006444,Person,2022-03-21 14:30:00,,0.988,DOC000210,true,Verified
REL0000211,C000211,C000211,Case,INVOLVES,P004014,Person,2019-07-07 19:08:00,,0.969,DOC000211,true,Verified
REL0000212,C000212,C000212,Case,INVOLVES,P002458,Person,2019-07-30 10:58:00,,0.902,DOC000212,false,Review Required
REL0000213,C000213,C000213,Case,INVOLVES,P004043,Person,2020-08-05 12:57:00,,0.922,DOC000213,false,Review Required
REL0000214,C000214,C000214,Case,INVOLVES,P003228,Person,2020-11-30 21:49:00,,0.94,DOC000214,false,Review Required
REL0000215,C000215,C000215,Case,INVOLVES,P005008,Person,2021-07-17 21:41:00,,0.97,DOC000215,true,Verified
REL0000216,C000216,C000216,Case,INVOLVES,P001643,Person,2020-10-11 22:14:00,,0.901,DOC000216,false,Review Required
REL0000217,C000217,C000217,Case,INVOLVES,P006587,Person,2020-01-03 13:08:00,,0.901,DOC000217,false,Review Required
REL0000218,C000218,C000218,Case,INVOLVES,P005462,Person,2019-08-24 16:06:00,,0.98,DOC000218,true,Verified
REL0000219,C000219,C000219,Case,INVOLVES,P000357,Person,2022-07-12 18:58:00,,0.927,DOC000219,false,Review Required
REL0000220,C000220,C000220,Case,INVOLVES,P004166,Person,2021-04-24 06:58:00,,0.963,DOC000220,true,Verified
REL0000221,C000221,C000221,Case,INVOLVES,P001286,Person,2020-04-24 13:40:00,,0.967,DOC000221,true,Verified
REL0000222,C000222,C000222,Case,INVOLVES,P000282,Person,2024-03-31 22:52:00,,0.926,DOC000222,false,Review Required
REL0000223,C000223,C000223,Case,INVOLVES,P006375,Person,2022-08-14 17:00:00,,0.918,DOC000223,false,Review Required
REL0000224,C000224,C000224,Case,INVOLVES,P000157,Person,2020-11-19 09:01:00,,0.936,DOC000224,false,Review Required
REL0000225,C000225,C000225,Case,INVOLVES,P002807,Person,2021-01-16 06:37:00,,0.961,DOC000225,true,Verified
