case_id,fir_number,case_type,crime_category,crime_subcategory,ipc_section,registration_date,incident_date,incident_time,police_station_id,district,city,state,latitude,longitude,case_status,severity,investigating_officer_id,source,description
C000038,PUNE/FIR/2024/00038,FIR,Public Order,Rioting,IPC 147,2018-03-01,2018-02-23,21:14:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.543114,73.86986,Closed,High,IO0323,SYNTH_CASE_DB,Synthetic rioting case recorded for the Yerawada area. Severity classification: High.
C000039,PUNE/FIR/2019/00039,FIR,Fraud,Criminal breach of trust,IPC 406,2018-12-14,2018-12-10,23:13:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.53873,73.877568,Chargesheeted,Medium,IO0145,SYNTH_CASE_DB,Synthetic criminal breach of trust case recorded for the Yerawada area. Severity classification: Medium.
C000040,PUNE/FIR/2022/00040,FIR,Forgery,Forgery,IPC 465,2024-06-03,2024-05-29,05:44:00,PS_VISHRANTWADI,Pune,Pune,Maharashtra,18.556396,73.877387,Registered,High,IO0292,SYNTH_FIR_DB,Synthetic forgery case recorded for the Vishrantwadi area. Severity classification: High.
C000041,PUNE/FIR/2020/00041,Complaint,Theft,Theft of property,IPC 379,2023-11-26,2023-11-23,19:31:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.503521,73.914672,Under Investigation,Medium,IO0320,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Hadapsar area. Severity classification: Medium.
C000042,PUNE/FIR/2022/00042,FIR,Threat,Criminal intimidation,IPC 506,2021-12-26,2021-12-16,13:36:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.558679,73.876448,Solved,Medium,IO0046,SYNTH_COURT_LINK,Synthetic criminal intimidation case recorded for the Yerawada area. Severity classification: Medium.
C000043,PUNE/FIR/2023/00043,Complaint,Assault,Voluntarily causing hurt,IPC 323,2018-07-15,2018-07-12,19:32:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.503951,73.924315,Solved,High,IO0045,SYNTH_LEGACY_DB,Synthetic voluntarily causing hurt case recorded for the Hadapsar area. Severity classification: High.
C000044,PUNE/FIR/2023/00044,FIR,Theft,Theft in dwelling house,IPC 380,2023-02-08,2023-02-05,05:29:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.631107,73.797409,Chargesheeted,High,IO0331,SYNTH_COURT_LINK,Synthetic theft in dwelling house case recorded for the Chinchwad area. Severity classification: High.
C000045,PUNE/FIR/2021/00045,FIR,Theft,Theft of property,IPC 379,2021-03-10,2021-03-02,21:46:00,PS_KONDHWA,Pune,Pune,Maharashtra,18.474529,73.884481,Under Investigation,High,IO0282,SYNTH_LEGACY_DB,Synthetic theft of property case recorded for the Kondhwa area. Severity classification: High.
C000046,PUNE/FIR/2022/00046,FIR,Burglary,House-breaking / house-trespass,IPC 454,2023-12-27,2023-12-14,12:48:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.62023,73.811689,Solved,High,IO0237,SYNTH_INTEL_DB,Synthetic house-breaking / house-trespass case recorded for the Pimpri area. Severity classification: High.
C000047,PUNE/FIR/2022/00047,FIR,Assault,Voluntarily causing hurt,IPC 323,2018-03-08,2018-02-27,08:02:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.497565,73.924469,Under Investigation,Medium,IO0193,SYNTH_LEGACY_DB,Synthetic voluntarily causing hurt case recorded for the Hadapsar area. Severity classification: Medium.
C000048,PUNE/FIR/2021/00048,Special Report,Fraud,Cheating,IPC 420,2019-09-03,2019-09-01,22:11:00,PS_DHANKAWADI,Pune,Pune,Maharashtra,18.465551,73.842212,Closed,High,IO0159,SYNTH_CASE_DB,Synthetic cheating case recorded for the Dhankawadi area. Severity classification: High.
C000049,PUNE/FIR/2021/00049,FIR,Robbery,Robbery with preparation for hurt,IPC 393,2018-02-28,2018-02-21,23:37:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.544416,73.885801,Under Investigation,Critical,IO0116,SYNTH_CASE_DB,Synthetic robbery with preparation for hurt case recorded for the Yerawada area. Severity classification: Critical.
C000050,PUNE/FIR/2018/00050,FIR,Threat,Criminal intimidation,IPC 506,2021-02-27,2021-02-16,17:29:00,PS_AUNDH,Pune,Pune,Maharashtra,18.566095,73.79996,Solved,Medium,IO0101,SYNTH_FIR_DB,Synthetic criminal intimidation case recorded for the Aundh area. Severity classification: Medium.
C000051,PUNE/FIR/2024/00051,FIR,Burglary,House-breaking / house-trespass,IPC 454,2021-02-19,2021-02-18,12:45:00,PS_BANER,Pune,Pune,Maharashtra,18.547518,73.794163,Under Investigation,Critical,IO0312,SYNTH_FIR_DB,Synthetic house-breaking / house-trespass case recorded for the Baner area. Severity classification: Critical.
C000052,PUNE/FIR/2024/00052,Special Report,Robbery,Robbery with preparation for hurt,IPC 393,2023-01-26,2023-01-22,09:27:00,PS_AUNDH,Pune,Pune,Maharashtra,18.56251,73.797507,Under Investigation,Critical,IO0062,SYNTH_FIR_DB,Synthetic robbery with preparation for hurt case recorded for the Aundh area. Severity classification: Critical.
C000053,PUNE/FIR/2023/00053,Preliminary Inquiry,Property,Mischief causing damage,IPC 427,2024-05-17,2024-05-06,12:47:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.626616,73.792762,Under Investigation,Medium,IO0025,SYNTH_FIR_DB,Synthetic mischief causing damage case recorded for the Pimpri area. Severity classification: Medium.
C000054,PUNE/FIR/2021/00054,FIR,Property,Mischief causing damage,IPC 427,2022-03-07,2022-02-21,19:14:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.635472,73.793229,Registered,Medium,IO0334,SYNTH_CASE_DB,Synthetic mischief causing damage case recorded for the Chinchwad area. Severity classification: Medium.
C000055,PUNE/FIR/2023/00055,FIR,Robbery,Robbery,IPC 392,2020-08-30,2020-08-18,09:28:00,PS_BANER,Pune,Pune,Maharashtra,18.547267,73.786078,Under Investigation,High,IO0162,SYNTH_FIR_DB,Synthetic robbery case recorded for the Baner area. Severity classification: High.
C000056,PUNE/FIR/2019/00056,Other,Fraud,Criminal breach of trust,IPC 406,2018-03-27,2018-03-19,21:19:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.501868,73.863801,Under Investigation,Medium,IO0069,SYNTH_INTEL_DB,Synthetic criminal breach of trust case recorded for the Swargate area. Severity classification: Medium.
C000057,PUNE/FIR/2020/00057,FIR,Burglary,House-breaking / house-trespass,IPC 454,2022-11-17,2022-11-16,19:48:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.635083,73.78795,Chargesheeted,High,IO0197,SYNTH_FIR_DB,Synthetic house-breaking / house-trespass case recorded for the Pimpri area. Severity classification: High.
C000058,PUNE/FIR/2021/00058,Preliminary Inquiry,Robbery,Robbery with preparation for hurt,IPC 393,2023-09-28,2023-09-21,05:00:00,PS_KATRAJ,Pune,Pune,Maharashtra,18.458476,73.853682,Closed,Critical,IO0089,SYNTH_CASE_DB,Synthetic robbery with preparation for hurt case recorded for the Katraj area. Severity classification: Critical.
C000059,PUNE/FIR/2020/00059,Complaint,Assault,Grievous hurt,IPC 325,2020-06-23,2020-06-20,18:57:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.516441,73.804066,Pending,Critical,IO0081,SYNTH_FIR_DB,Synthetic grievous hurt case recorded for the Kothrud area. Severity classification: Critical.
C000060,PUNE/FIR/2021/00060,FIR,Theft,Theft in dwelling house,IPC 380,2023-11-30,2023-11-20,18:36:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.514253,73.933868,Registered,Critical,IO0270,SYNTH_CASE_DB,Synthetic theft in dwelling house case recorded for the Hadapsar area. Severity classification: Critical.
C000061,PUNE/FIR/2018/00061,FIR,Public Order,Unlawful assembly,IPC 141,2021-02-27,2021-02-18,00:37:00,PS_SHIVAJINAGAR,Pune,Pune,Maharashtra,18.531244,73.855185,Solved,Medium,IO0274,SYNTH_FIR_DB,Synthetic unlawful assembly case recorded for the Shivajinagar area. Severity classification: Medium.
C000062,PUNE/FIR/2019/00062,FIR,Sexual Offence,Sexual harassment,IPC 354A,2021-04-06,2021-04-06,16:51:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.559887,73.878313,Chargesheeted,High,IO0062,SYNTH_FIR_DB,Synthetic sexual harassment case recorded for the Yerawada area. Severity classification: High.
C000063,PUNE/FIR/2018/00063,FIR,Assault,Voluntarily causing hurt,IPC 323,2023-12-04,2023-12-04,14:03:00,PS_BANER,Pune,Pune,Maharashtra,18.549167,73.780557,Under Investigation,High,IO0148,SYNTH_FIELD_REPORT,Synthetic voluntarily causing hurt case recorded for the Baner area. Severity classification: High.
C000064,PUNE/FIR/2020/00064,FIR,Fraud,Criminal breach of trust,IPC 406,2021-08-26,2021-08-23,08:51:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.514704,73.815975,Solved,Medium,IO0341,SYNTH_FIR_DB,Synthetic criminal breach of trust case recorded for the Kothrud area. Severity classification: Medium.
C000065,PUNE/FIR/2021/00065,FIR,Burglary,House-breaking / house-trespass,IPC 454,2021-11-15,2021-11-11,10:06:00,PS_BANER,Pune,Pune,Maharashtra,18.56123,73.784371,Chargesheeted,Critical,IO0056,SYNTH_CASE_DB,Synthetic house-breaking / house-trespass case recorded for the Baner area. Severity classification: Critical.
C000066,PUNE/FIR/2021/00066,FIR,Burglary,House-breaking / house-trespass,IPC 454,2019-04-01,2019-03-25,13:02:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.498068,73.852424,Solved,Critical,IO0170,SYNTH_FIR_DB,Synthetic house-breaking / house-trespass case recorded for the Swargate area. Severity classification: Critical.
C000067,PUNE/FIR/2020/00067,FIR,Theft,Theft in dwelling house,IPC 380,2022-10-10,2022-10-08,11:37:00,PS_WAKAD,Pune,Pune,Maharashtra,18.600617,73.76672,Registered,Critical,IO0016,SYNTH_LEGACY_DB,Synthetic theft in dwelling house case recorded for the Wakad area. Severity classification: Critical.
C000068,PUNE/FIR/2022/00068,FIR,Theft,Theft of property,IPC 379,2024-06-26,2024-06-12,20:38:00,PS_KATRAJ,Pune,Pune,Maharashtra,18.448951,73.872886,Registered,Medium,IO0011,SYNTH_CASE_DB,Synthetic theft of property case recorded for the Katraj area. Severity classification: Medium.
C000069,PUNE/FIR/2023/00069,FIR,Assault,Voluntarily causing hurt,IPC 323,2019-11-10,2019-11-03,11:57:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.505477,73.818172,Closed,Medium,IO0041,SYNTH_FIELD_REPORT,Synthetic voluntarily causing hurt case recorded for the Kothrud area. Severity classification: Medium.
C000070,PUNE/FIR/2018/00070,FIR,Fraud,Cheating,IPC 420,2023-10-29,2023-10-29,19:43:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.491755,73.853638,Under Investigation,Critical,IO0256,SYNTH_FIR_DB,Synthetic cheating case recorded for the Swargate area. Severity classification: Critical.
C000071,PUNE/FIR/2020/00071,Other,Burglary,House-breaking / house-trespass,IPC 454,2019-01-16,2019-01-03,02:15:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.631471,73.790827,Under Investigation,Critical,IO0121,SYNTH_LEGACY_DB,Synthetic house-breaking / house-trespass case recorded for the Pimpri area. Severity classification: Critical.
C000072,PUNE/FIR/2023/00072,FIR,Assault,Voluntarily causing hurt,IPC 323,2019-11-15,2019-11-01,07:19:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.54775,73.887129,Unsolved,Medium,IO0340,SYNTH_LEGACY_DB,Synthetic voluntarily causing hurt case recorded for the Yerawada area. Severity classification: Medium.
C000073,PUNE/FIR/2021/00073,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2020-12-09,2020-12-08,13:08:00,PS_KONDHWA,Pune,Pune,Maharashtra,18.467743,73.878444,Pending,Critical,IO0178,SYNTH_COURT_LINK,Synthetic cheating by personation / cyber fraud case recorded for the Kondhwa area. Severity classification: Critical.
C000074,PUNE/FIR/2019/00074,FIR,Threat,Criminal intimidation,IPC 506,2022-12-18,2022-12-06,11:16:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.631264,73.800323,Chargesheeted,Medium,IO0258,SYNTH_FIELD_REPORT,Synthetic criminal intimidation case recorded for the Pimpri area. Severity classification: Medium.
C000075,PUNE/FIR/2021/00075,Preliminary Inquiry,Theft,Theft of property,IPC 379,2018-01-11,2018-01-11,20:31:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.625719,73.837697,Chargesheeted,Medium,IO0131,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Bhosari area. Severity classification: Medium.
C000076,PUNE/FIR/2023/00076,FIR,Robbery,Robbery,IPC 392,2020-06-05,2020-05-22,14:37:00,PS_BANER,Pune,Pune,Maharashtra,18.56977,73.782351,Chargesheeted,High,IO0321,SYNTH_FIELD_REPORT,Synthetic robbery case recorded for the Baner area. Severity classification: High.
C000077,PUNE/FIR/2021/00077,FIR,Robbery,Robbery with preparation for hurt,IPC 393,2021-12-31,2021-12-28,22:57:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.50823,73.873995,Under Investigation,Critical,IO0343,SYNTH_LEGACY_DB,Synthetic robbery with preparation for hurt case recorded for the Swargate area. Severity classification: Critical.
C000078,PUNE/FIR/2021/00078,FIR,Theft,Theft of property,IPC 379,2019-01-14,2019-01-07,12:14:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.501758,73.816895,Under Investigation,High,IO0137,SYNTH_CASE_DB,Synthetic theft of property case recorded for the Kothrud area. Severity classification: High.
C000079,PUNE/FIR/2021/00079,FIR,Assault,Grievous hurt,IPC 325,2023-12-12,2023-12-09,13:50:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.510382,73.936444,Under Investigation,High,IO0027,SYNTH_CASE_DB,Synthetic grievous hurt case recorded for the Hadapsar area. Severity classification: High.
C000080,PUNE/FIR/2018/00080,FIR,Theft,Theft of property,IPC 379,2023-02-08,2023-02-03,14:19:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.560674,73.904513,Solved,Medium,IO0314,SYNTH_COURT_LINK,Synthetic theft of property case recorded for the Viman Nagar area. Severity classification: Medium.
C000081,PUNE/FIR/2019/00081,Preliminary Inquiry,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2024-04-14,2024-04-07,18:32:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.63445,73.795351,Solved,High,IO0021,SYNTH_CASE_DB,Synthetic cheating by personation / cyber fraud case recorded for the Chinchwad area. Severity classification: High.
C000082,PUNE/FIR/2021/00082,Complaint,Public Order,Unlawful assembly,IPC 141,2024-03-18,2024-03-07,12:56:00,PS_WAKAD,Pune,Pune,Maharashtra,18.598021,73.761102,Under Investigation,Medium,IO0003,SYNTH_FIELD_REPORT,Synthetic unlawful assembly case recorded for the Wakad area. Severity classification: Medium.
C000083,PUNE/FIR/2018/00083,FIR,Fraud,Cheating,IPC 420,2023-02-27,2023-02-27,19:46:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.626885,73.789109,Solved,High,IO0338,SYNTH_CASE_DB,Synthetic cheating case recorded for the Chinchwad area. Severity classification: High.
C000084,PUNE/FIR/2024/00084,FIR,Robbery,Robbery,IPC 392,2024-05-17,2024-05-04,12:24:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.499122,73.86684,Under Investigation,High,IO0025,SYNTH_CASE_DB,Synthetic robbery case recorded for the Swargate area. Severity classification: High.
C000085,PUNE/FIR/2018/00085,Complaint,Theft,Theft in dwelling house,IPC 380,2023-12-11,2023-12-04,20:21:00,PS_SHIVAJINAGAR,Pune,Pune,Maharashtra,18.520115,73.858264,Closed,Critical,IO0260,SYNTH_CASE_DB,Synthetic theft in dwelling house case recorded for the Shivajinagar area. Severity classification: Critical.
