vehicle_id,registration_number,vehicle_type,make,model,color,registration_date,registered_owner_id,current_owner_id,status,insurance_status,source
V000119,MH12AB1903,Car,Maruti Suzuki,Baleno,Green,2013-12-30,P003849,P003849,Active,Expired,SYNTH_RTO_DB
V000120,MH12AB2040,Scooter,Honda,Activa,Grey,2025-03-31,P001684,P001684,Active,Active,SYNTH_INSURANCE_DB
V000121,MH12AB2177,Car,Hyundai,i20,Black,2010-04-10,P001696,P001696,Active,Not Available,SYNTH_INSURANCE_DB
V000122,MH12AB2214,Car,Maruti Suzuki,Baleno,Green,2023-01-12,P001191,P001191,Active,Active,SYNTH_VEHICLE_REGISTRY
V000123,MH12AB2351,Motorcycle,Honda,Shine,Grey,2026-08-14,P004970,P001983,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000124,MH12AB2488,Car,Maruti Suzuki,Baleno,Silver,2020-12-16,P004914,P004773,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000125,MH12AB2525,Motorcycle,Honda,Shine,White,2019-02-14,P005900,P005900,Active,Active,SYNTH_RTO_DB
V000126,MH12AB2662,Auto,Bajaj,RE,Grey,2014-05-04,P003015,P001496,Transferred,Active,SYNTH_RTO_DB
V000127,MH12AB2799,Car,Hyundai,Creta,Brown,2020-10-01,P002603,P002603,Active,Active,SYNTH_RTO_DB
V000128,MH12AB2836,Car,Maruti Suzuki,Swift,Brown,2014-11-26,P006029,P006029,Active,Active,SYNTH_VEHICLE_REGISTRY
V000129,MH12AB2973,Commercial,Tata,Ace,Black,2018-01-05,P002516,P002516,Active,Expired,SYNTH_INSURANCE_DB
V000130,MH12AB3010,Car,Toyota,Innova,White,2015-11-17,P005789,P005789,Active,Active,SYNTH_INSURANCE_DB
V000131,MH12AB3147,Scooter,Suzuki,Access,Silver,2018-05-25,P004274,P000111,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000132,MH12AB3284,Car,Mahindra,XUV300,Red,2011-02-25,P003978,P003978,Active,Active,SYNTH_VEHICLE_REGISTRY
V000133,MH12AB3321,Car,Maruti Suzuki,Baleno,Red,2017-03-24,P000609,P000609,Active,Active,SYNTH_INSURANCE_DB
V000134,MH12AB3458,Motorcycle,Hero,Splendor Plus,Green,2024-02-28,P002866,P002866,Active,Expired,SYNTH_INSURANCE_DB
V000135,MH12AB3595,Scooter,TVS,Jupiter,Brown,2025-01-19,P004065,P005049,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000136,MH12AB3632,Car,Mahindra,XUV300,Grey,2011-04-21,P005777,P005777,Inactive,Active,SYNTH_FIELD_DB
V000137,MH12AB3769,Commercial,Tata,Ace,Grey,2011-04-13,P002905,P002905,Inactive,Active,SYNTH_INSURANCE_DB
V000138,MH12AB3806,Car,Maruti Suzuki,Baleno,Silver,2018-09-17,P000791,P003788,Transferred,Expired,SYNTH_INSURANCE_DB
V000139,MH12AB3943,Motorcycle,Hero,Splendor Plus,Green,2023-04-12,P003203,P003203,Active,Active,SYNTH_FIELD_DB
V000140,MH12AB4080,Auto,Bajaj,RE,Brown,2022-06-08,P002433,P002433,Active,Active,SYNTH_RTO_DB
V000141,MH12AB4117,Motorcycle,Honda,Shine,Grey,2011-05-12,P006236,P006236,Active,Expired,SYNTH_RTO_DB
V000142,MH12AB4254,Scooter,Honda,Activa,Black,2010-05-16,P001111,P001111,Active,Active,SYNTH_RTO_DB
V000143,MH12AB4391,Car,Hyundai,i20,Black,2022-10-26,P006658,P006658,Active,Not Available,SYNTH_INSURANCE_DB
V000144,MH12AB4428,Car,Mahindra,XUV300,Brown,2020-06-13,P003362,P003362,Active,Active,SYNTH_VEHICLE_REGISTRY
V000145,MH12AB4565,Car,Mahindra,XUV300,Grey,2014-05-27,P001084,P001084,Stolen,Active,SYNTH_RTO_DB
V000146,MH12AB4602,Car,Hyundai,Creta,Green,2023-08-04,P000412,P000412,Active,Active,SYNTH_VEHICLE_REGISTRY
V000147,MH12AB4739,Car,Hyundai,i20,Blue,2013-04-28,P004093,P004093,Inactive,Expired,SYNTH_VEHICLE_REGISTRY
V000148,MH12AB4876,Commercial,Tata,Ace,Brown,2019-02-14,P006651,P006651,Active,Active,SYNTH_RTO_DB
V000149,MH12AB4913,Commercial,Tata,Ace,Black,2013-09-28,P002312,P006711,Transferred,Expired,SYNTH_VEHICLE_REGISTRY
V000150,MH12AB5050,Motorcycle,Hero,Splendor Plus,Green,2014-01-22,P005950,P001528,Transferred,Active,SYNTH_RTO_DB
V000151,MH12AB5187,Scooter,Honda,Activa,Silver,2013-11-16,P002520,P002520,Active,Active,SYNTH_VEHICLE_REGISTRY
V000152,MH12AB5224,Motorcycle,Honda,Shine,Black,2018-09-13,P002619,P002619,Active,Not Available,SYNTH_VEHICLE_REGISTRY
V000153,MH12AB5361,Commercial,Tata,Ace,Grey,2021-05-27,P003978,P004894,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000154,MH12AB5498,Motorcycle,Honda,Shine,Red,2016-11-08,P004257,P002497,Transferred,Active,SYNTH_INSURANCE_DB
V000155,MH12AB5535,Motorcycle,Honda,Shine,Silver,2018-03-31,P003342,P003342,Scrapped,Active,SYNTH_RTO_DB
V000156,MH12AB5672,Commercial,Mahindra,Bolero Pickup,White,2015-02-28,P006170,P006170,Active,Expired,SYNTH_FIELD_DB
V000157,MH12AB5709,Motorcycle,Bajaj,Pulsar,Black,2011-09-14,P001723,P003328,Transferred,Active,SYNTH_FIELD_DB
V000158,MH12AB5846,Car,Toyota,Innova,Green,2023-01-15,P003150,P002219,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000159,MH12AB5983,Commercial,Tata,Ace,Grey,2018-09-18,P000046,P004376,Transferred,Active,SYNTH_INSURANCE_DB
V000160,MH12AB6020,Car,Maruti Suzuki,Baleno,Black,2020-10-24,P003787,P003787,Active,Active,SYNTH_INSURANCE_DB
V000161,MH12AB6157,Car,Hyundai,Creta,Blue,2022-10-16,P006485,P006485,Active,Active,SYNTH_RTO_DB
V000162,MH12AB6294,Car,Hyundai,i20,Blue,2012-01-06,P004349,P004349,Active,Active,SYNTH_VEHICLE_REGISTRY
V000163,MH12AB6331,Car,Hyundai,Creta,Grey,2012-09-15,P006598,P006598,Active,Active,SYNTH_RTO_DB
V000164,MH12AB6468,Scooter,Suzuki,Access,Grey,2010-09-30,P006412,P006412,Active,Expired,SYNTH_RTO_DB
V000165,MH12AB6505,Car,Hyundai,i20,Blue,2023-01-03,P006923,P002268,Transferred,Active,SYNTH_FIELD_DB
V000166,MH12AB6642,Scooter,Honda,Activa,Silver,2012-08-04,P004496,P004496,Active,Active,SYNTH_FIELD_DB
V000167,MH12AB6779,Car,Tata,Nexon,Red,2016-01-07,P004963,P004963,Active,Active,SYNTH_VEHICLE_REGISTRY
V000168,MH12AB6816,Motorcycle,Hero,Splendor Plus,Red,2024-02-17,P005873,P005873,Inactive,Active,SYNTH_INSURANCE_DB
V000169,MH12AB6953,Car,Tata,Nexon,Brown,2015-06-25,P006318,P000519,Transferred,Expired,SYNTH_INSURANCE_DB
V000170,MH12AB7090,Car,Maruti Suzuki,Swift,Silver,2013-01-25,P004715,P004715,Active,Active,SYNTH_FIELD_DB
V000171,MH12AB7127,Motorcycle,Bajaj,Pulsar,Silver,2011-12-06,P002930,P002930,Inactive,Not Available,SYNTH_VEHICLE_REGISTRY
V000172,MH12AB7264,Scooter,Suzuki,Access,Brown,2020-02-29,P005251,P002058,Transferred,Not Available,SYNTH_FIELD_DB
V000173,MH12AB7301,Motorcycle,Bajaj,Pulsar,Blue,2024-02-01,P002258,P002258,Active,Active,SYNTH_FIELD_DB
V000174,MH12AB7438,Motorcycle,Hero,Splendor Plus,Grey,2013-02-09,P006395,P006395,Scrapped,Active,SYNTH_VEHICLE_REGISTRY
V000175,MH12AB7575,Car,Toyota,Innova,Brown,2015-10-12,P004626,P004626,Active,Active,SYNTH_FIELD_DB
V000176,MH12AB7612,Motorcycle,Honda,Shine,Blue,2013-09-20,P001834,P004004,Transferred,Expired,SYNTH_RTO_DB
V000177,MH12AB7749,Motorcycle,Honda,Shine,Blue,2012-11-09,P003449,P005925,Transferred,Expired,SYNTH_RTO_DB
V000178,MH12AB7886,Scooter,TVS,Jupiter,Silver,2010-09-07,P003429,P003429,Active,Active,SYNTH_FIELD_DB
V000179,MH12AB7923,Scooter,Suzuki,Access,White,2024-11-20,P003639,P003639,Scrapped,Active,SYNTH_VEHICLE_REGISTRY
V000180,MH12AB8060,Auto,Bajaj,RE,Green,2012-11-03,P000903,P000903,Active,Active,SYNTH_VEHICLE_REGISTRY
V000181,MH12AB8197,Car,Hyundai,i20,Blue,2021-08-01,P003562,P003562,Active,Expired,SYNTH_INSURANCE_DB
V000182,MH12AB8234,Car,Maruti Suzuki,Baleno,Silver,2026-03-18,P002929,P002929,Active,Active,SYNTH_INSURANCE_DB
V000183,MH12AB8371,Motorcycle,Hero,Splendor Plus,White,2024-02-29,P004080,P004080,Active,Active,SYNTH_RTO_DB
V000184,MH12AB8408,Car,Hyundai,i20,Grey,2017-08-28,P001682,P001682,Active,Active,SYNTH_VEHICLE_REGISTRY
V000185,MH12AB8545,Car,Tata,Nexon,Silver,2015-04-07,P004541,P004541,Active,Not Available,SYNTH_FIELD_DB
V000186,MH12AB8682,Car,Tata,Nexon,Silver,2018-02-26,P006463,P006463,Active,Expired,SYNTH_RTO_DB
V000187,MH12AB8719,Commercial,Tata,Ace,Blue,2023-04-19,P000684,P000684,Active,Active,SYNTH_VEHICLE_REGISTRY
V000188,MH12AB8856,Auto,Bajaj,RE,Grey,2019-03-24,P001809,P001809,Active,Expired,SYNTH_VEHICLE_REGISTRY
V000189,MH12AB8993,Car,Maruti Suzuki,Swift,Grey,2012-01-23,P001239,P001239,Active,Active,SYNTH_INSURANCE_DB
V000190,MH12AB9030,Car,Maruti Suzuki,Baleno,Grey,2014-05-06,P004176,P004176,Active,Active,SYNTH_RTO_DB
V000191,MH12AB9167,Car,Tata,Nexon,Green,2022-06-16,P001822,P001822,Active,Expired,SYNTH_RTO_DB
V000192,MH12AB9204,Scooter,Suzuki,Access,Red,2012-02-14,P006732,P002123,Transferred,Active,SYNTH_RTO_DB
V000193,MH12AB9341,Scooter,Honda,Activa,Brown,2021-09-08,P001159,P001159,Active,Active,SYNTH_INSURANCE_DB
V000194,MH12AB9478,Car,Hyundai,i20,Silver,2025-07-07,P001616,P001616,Inactive,Active,SYNTH_VEHICLE_REGISTRY
V000195,MH12AB9515,Car,Hyundai,Creta,Blue,2016-05-05,P003848,P003848,Stolen,Active,SYNTH_FIELD_DB
V000196,MH12AB9652,Commercial,Mahindra,Bolero Pickup,Brown,2022-05-14,P000029,P000029,Active,Active,SYNTH_FIELD_DB
V000197,MH12AB9789,Commercial,Tata,Ace,Green,2026-01-05,P001363,P006992,Transferred,Active,SYNTH_INSURANCE_DB
V000198,MH12AB9826,Car,Mahindra,XUV300,Black,2021-08-09,P003340,P005940,Transferred,Active,SYNTH_INSURANCE_DB
V000199,MH12AB9963,Car,Tata,Nexon,Red,2019-02-22,P004948,P004948,Scrapped,Active,SYNTH_RTO_DB
V000200,MH12AC0000,Car,Maruti Suzuki,Swift,Grey,2020-10-30,P002198,P001467,Transferred,Expired,SYNTH_INSURANCE_DB
V000201,MH12AC0137,Motorcycle,Honda,Shine,Black,2019-11-20,P000430,P000430,Active,Active,SYNTH_VEHICLE_REGISTRY
V000202,MH12AC0274,Scooter,Suzuki,Access,Grey,2011-06-19,P003761,P000953,Transferred,Active,SYNTH_VEHICLE_REGISTRY
