evidence_id,case_id,evidence_type,file_name,file_path,source,collected_by,collection_timestamp,original_hash_sha256,current_hash_sha256,integrity_status,chain_of_custody_id,access_level,created_at
EVD0000011,C007772,CDR,evd0000011_cdr.csv,/synthetic-evidence/C007772/evd0000011_cdr.csv,SYNTH_CDR_SYSTEM,IO0245,2023-01-31 15:26:10,b5b490895e9298fefe790f941afef7875713d19a28c233d5eabffc0d7d5a2bd7,b5b490895e9298fefe790f941afef7875713d19a28c233d5eabffc0d7d5a2bd7,Intact,COC0000011,Highly Restricted,2023-02-01 03:26:10
EVD0000012,C001583,Document,evd0000012_document.pdf,/synthetic-evidence/C001583/evd0000012_document.pdf,SYNTH_POLICE_RECORDS,IO0010,2022-08-08 21:47:33,d6bb4c651a42b4bc67a4daa87ee9a7d7082e944fcd59aa227fa37450d28291ee,d6bb4c651a42b4bc67a4daa87ee9a7d7082e944fcd59aa227fa37450d28291ee,Intact,COC0000012,Highly Restricted,2022-08-09 00:03:33
EVD0000013,C002069,Audio,evd0000013_audio.wav,/synthetic-evidence/C002069/evd0000013_audio.wav,SYNTH_RTO_SYSTEM,IO0144,2022-05-27 03:06:42,f4ca9774d4bff0b75c8b7c79d199b82855a979384607c15b496001652b951f49,f4ca9774d4bff0b75c8b7c79d199b82855a979384607c15b496001652b951f49,Intact,COC0000013,Confidential,2022-05-27 10:55:42
EVD0000014,C005098,CDR,evd0000014_cdr.csv,/synthetic-evidence/C005098/evd0000014_cdr.csv,SYNTH_CCTV_SYSTEM,IO0054,2025-07-12 20:47:51,67e00c7473abcc32c60784b74aadb231bfa0d8577442286bd03c05ea3b6baca9,67e00c7473abcc32c60784b74aadb231bfa0d8577442286bd03c05ea3b6baca9,Intact,COC0000014,Confidential,2025-07-13 18:05:51
EVD0000015,C002937,Image,evd0000015_image.jpg,/synthetic-evidence/C002937/evd0000015_image.jpg,SYNTH_CDR_SYSTEM,IO0323,2023-10-11 08:17:18,71262d184d31f81dc53cd277124615d954b789bf2e5ca96c62e84e38a2bb1e68,71262d184d31f81dc53cd277124615d954b789bf2e5ca96c62e84e38a2bb1e68,Intact,COC0000015,Highly Restricted,2023-10-11 19:38:18
EVD0000016,C007198,FinancialRecord,evd0000016_financialrecord.csv,/synthetic-evidence/C007198/evd0000016_financialrecord.csv,SYNTH_POLICE_RECORDS,IO0166,2022-06-30 11:12:20,90b3f12f6079941ae608825c358917fdef93d83c7f466b9cb3876fe036f969b2,90b3f12f6079941ae608825c358917fdef93d83c7f466b9cb3876fe036f969b2,Intact,COC0000016,Confidential,2022-06-30 14:30:20
EVD0000017,C009238,FIR,evd0000017_fir.pdf,/synthetic-evidence/C009238/evd0000017_fir.pdf,SYNTH_BANK_SYSTEM,IO0112,2024-05-15 09:58:52,9e6b80f6f28ac932b82677f9b04fcfa501b3163896157850dfd2eeb3838b6d7a,9e6b80f6f28ac932b82677f9b04fcfa501b3163896157850dfd2eeb3838b6d7a,Intact,COC0000017,Highly Restricted,2024-05-16 04:20:52
EVD0000018,C003110,LocationRecord,evd0000018_locationrecord.json,/synthetic-evidence/C003110/evd0000018_locationrecord.json,SYNTH_DOCUMENT_SYSTEM,IO0085,2021-03-10 08:29:24,6edcadd02c6fb1255ef74d92159aafbb83de5cb7148e0570f8f7fd6b03a79fb1,6edcadd02c6fb1255ef74d92159aafbb83de5cb7148e0570f8f7fd6b03a79fb1,Intact,COC0000018,Highly Restricted,2021-03-11 03:56:24
EVD0000019,C009762,Report,evd0000019_report.pdf,/synthetic-evidence/C009762/evd0000019_report.pdf,SYNTH_BANK_SYSTEM,IO0193,2020-07-18 05:52:24,26adfa56c60af3ed8345e2a5a6d40b34436fabd8b3ac8fab90ea44d0b14d3017,26adfa56c60af3ed8345e2a5a6d40b34436fabd8b3ac8fab90ea44d0b14d3017,Intact,COC0000019,Restricted,2020-07-19 00:47:24
EVD0000020,C001019,LocationRecord,evd0000020_locationrecord.json,/synthetic-evidence/C001019/evd0000020_locationrecord.json,SYNTH_POLICE_RECORDS,IO0235,2022-03-22 14:33:49,5d5b4be60a09a7f52612cf1a315b802af270f268fdd96382a18a45f1e281244d,5d5b4be60a09a7f52612cf1a315b802af270f268fdd96382a18a45f1e281244d,Intact,COC0000020,Internal,2022-03-23 05:17:49
EVD0000021,C008716,CCTV,evd0000021_cctv.mp4,/synthetic-evidence/C008716/evd0000021_cctv.mp4,SYNTH_CCTV_SYSTEM,IO0131,2020-03-29 23:02:34,b3e14daebc9be2f699936afaa5b97da827e8d03b22d48299ec92de53a5b2e686,b3e14daebc9be2f699936afaa5b97da827e8d03b22d48299ec92de53a5b2e686,Intact,COC0000021,Confidential,2020-03-30 21:37:34
EVD0000022,C009889,Image,evd0000022_image.jpg,/synthetic-evidence/C009889/evd0000022_image.jpg,SYNTH_RTO_SYSTEM,IO0256,2019-06-15 17:17:06,9cff9733c73498ca1df72d871e1739ab573c91ff5ce422afcc2895e3fc9218ee,9cff9733c73498ca1df72d871e1739ab573c91ff5ce422afcc2895e3fc9218ee,Intact,COC0000022,Restricted,2019-06-16 01:45:06
EVD0000023,C008234,LocationRecord,evd0000023_locationrecord.json,/synthetic-evidence/C008234/evd0000023_locationrecord.json,SYNTH_POLICE_RECORDS,IO0348,2021-09-25 15:26:24,fc4d23dd4644b20bdd8a453ff3c2cbbc7eb035eb0bb3bf4a2a05438e55699c15,fc4d23dd4644b20bdd8a453ff3c2cbbc7eb035eb0bb3bf4a2a05438e55699c15,Intact,COC0000023,Internal,2021-09-25 16:11:24
EVD0000024,C009457,VehicleRecord,evd0000024_vehiclerecord.pdf,/synthetic-evidence/C009457/evd0000024_vehiclerecord.pdf,SYNTH_RTO_SYSTEM,IO0132,2024-07-09 20:25:31,e9143d494cd61006c5279b6f776c7c32f4b4dde06f7bd3cfac39384d354249a2,8823c4d69e427b7e2578897f793e6687f8039b243d49d2cc8926b3809038f632,HashMismatch,COC0000024,Internal,2024-07-09 21:39:31
EVD0000025,C009044,Document,evd0000025_document.pdf,/synthetic-evidence/C009044/evd0000025_document.pdf,SYNTH_CCTV_SYSTEM,IO0143,2025-04-07 12:10:37,ca37d604602e2bc48d4ddd442edd875997e0544b60a387745ff1e2a45ae772fc,ca37d604602e2bc48d4ddd442edd875997e0544b60a387745ff1e2a45ae772fc,Intact,COC0000025,Confidential,2025-04-08 10:29:37
EVD0000026,C005962,VehicleRecord,evd0000026_vehiclerecord.pdf,/synthetic-evidence/C005962/evd0000026_vehiclerecord.pdf,SYNTH_POLICE_RECORDS,IO0047,2022-06-07 06:41:35,fcc2fbfbcb3db914618d80760711835397e07c818e3df231f696678468c50648,fcc2fbfbcb3db914618d80760711835397e07c818e3df231f696678468c50648,Intact,COC0000026,Restricted,2022-06-07 20:43:35
EVD0000027,C006709,VehicleRecord,evd0000027_vehiclerecord.pdf,/synthetic-evidence/C006709/evd0000027_vehiclerecord.pdf,SYNTH_RTO_SYSTEM,IO0067,2022-07-11 05:44:15,3f31830b4d60d93dd70566e58bcd985e2aa38133185cfe959e024bd98b1865c4,3f31830b4d60d93dd70566e58bcd985e2aa38133185cfe959e024bd98b1865c4,Intact,COC0000027,Restricted,2022-07-11 13:08:15
EVD0000028,C006652,CDR,evd0000028_cdr.csv,/synthetic-evidence/C006652/evd0000028_cdr.csv,SYNTH_CCTV_SYSTEM,IO0256,2020-08-28 20:10:58,eba317515295696799535254cb7574c2fe6ad193d76d5323ba84658f7b829395,eba317515295696799535254cb7574c2fe6ad193d76d5323ba84658f7b829395,Intact,COC0000028,Highly Restricted,2020-08-29 00:49:58
EVD0000029,C003419,CCTV,evd0000029_cctv.mp4,/synthetic-evidence/C003419/evd0000029_cctv.mp4,SYNTH_CCTV_SYSTEM,IO0338,2024-03-28 03:18:10,555bc6b5ef866fc77ce5f5de57a0426282b9ba3f1c58e34faf447998c29d3a18,555bc6b5ef866fc77ce5f5de57a0426282b9ba3f1c58e34faf447998c29d3a18,Intact,COC0000029,Restricted,2024-03-28 19:43:10
EVD0000030,C008291,LocationRecord,evd0000030_locationrecord.json,/synthetic-evidence/C008291/evd0000030_locationrecord.json,SYNTH_CDR_SYSTEM,IO0289,2025-03-24 13:47:11,bbe871a5ce055b8004baff915b715bc2bb90545a4d228459db6744d6175947f2,bbe871a5ce055b8004baff915b715bc2bb90545a4d228459db6744d6175947f2,Intact,COC0000030,Internal,2025-03-25 02:36:11
EVD0000031,C004965,CCTV,evd0000031_cctv.mp4,/synthetic-evidence/C004965/evd0000031_cctv.mp4,SYNTH_CCTV_SYSTEM,IO0010,2025-12-12 15:02:25,af029b77aac046f22c80ad07ea5b73f9e8df6235cbc71baeaf6376e973dc91b0,af029b77aac046f22c80ad07ea5b73f9e8df6235cbc71baeaf6376e973dc91b0,Intact,COC0000031,Internal,2025-12-13 14:35:25
EVD0000032,C002141,VehicleRecord,evd0000032_vehiclerecord.pdf,/synthetic-evidence/C002141/evd0000032_vehiclerecord.pdf,SYNTH_RTO_SYSTEM,IO0139,2024-02-05 04:27:22,98b24661f0380c124bf938a184d482f62dbe7e161e833b234e6f303f718cfa11,98b24661f0380c124bf938a184d482f62dbe7e161e833b234e6f303f718cfa11,Intact,COC0000032,Restricted,2024-02-06 02:32:22
EVD0000033,C006078,VehicleRecord,evd0000033_vehiclerecord.pdf,/synthetic-evidence/C006078/evd0000033_vehiclerecord.pdf,SYNTH_LOCATION_SYSTEM,IO0291,2023-02-18 05:58:35,5dd4894f48ba72d71a073670e1d09e047d1ed9a8ee7d7dfee01133a1ffd70f3e,5dd4894f48ba72d71a073670e1d09e047d1ed9a8ee7d7dfee01133a1ffd70f3e,Intact,COC0000033,Highly Restricted,2023-02-18 13:31:35
EVD0000034,C005302,FIR,evd0000034_fir.pdf,/synthetic-evidence/C005302/evd0000034_fir.pdf,SYNTH_BANK_SYSTEM,IO0308,2020-05-19 14:24:00,1eae7e5a8c9c9d7b387a7dd0913d4145faff197d63d3561c6641db3966e36709,1eae7e5a8c9c9d7b387a7dd0913d4145faff197d63d3561c6641db3966e36709,Intact,COC0000034,Internal,2020-05-20 10:21:00
EVD0000035,C006587,FIR,evd0000035_fir.pdf,/synthetic-evidence/C006587/evd0000035_fir.pdf,SYNTH_DOCUMENT_SYSTEM,IO0124,2019-10-20 01:34:32,b96b4df24f8a3f47efba773645e9242f3a1c37e3ee1e79923c501de4890832dc,b96b4df24f8a3f47efba773645e9242f3a1c37e3ee1e79923c501de4890832dc,Intact,COC0000035,Highly Restricted,2019-10-20 03:42:32
EVD0000036,C000351,FinancialRecord,evd0000036_financialrecord.csv,/synthetic-evidence/C000351/evd0000036_financialrecord.csv,SYNTH_DOCUMENT_SYSTEM,IO0120,2021-08-23 12:00:04,a0bc7fca76236e18abefdaec1a14a2ab4ad46aa99730762e19f3db34bbbb1870,a0bc7fca76236e18abefdaec1a14a2ab4ad46aa99730762e19f3db34bbbb1870,Intact,COC0000036,Confidential,2021-08-24 01:32:04
EVD0000037,C002025,FIR,evd0000037_fir.pdf,/synthetic-evidence/C002025/evd0000037_fir.pdf,SYNTH_CDR_SYSTEM,IO0346,2022-12-20 03:42:30,032cc590a4e38d7bbf66f38d816b2f634e6496355417082d1deeeacb799ff61b,032cc590a4e38d7bbf66f38d816b2f634e6496355417082d1deeeacb799ff61b,Intact,COC0000037,Highly Restricted,2022-12-20 16:54:30
EVD0000038,C004963,Document,evd0000038_document.pdf,/synthetic-evidence/C004963/evd0000038_document.pdf,SYNTH_POLICE_RECORDS,IO0291,2019-02-07 21:25:57,e195ee819e7bc3a89e5171315c1b22adf707fc7b501d832b313c025c2bd82cad,e195ee819e7bc3a89e5171315c1b22adf707fc7b501d832b313c025c2bd82cad,Intact,COC0000038,Restricted,2019-02-08 01:53:57
EVD0000039,C005389,FinancialRecord,evd0000039_financialrecord.csv,/synthetic-evidence/C005389/evd0000039_financialrecord.csv,SYNTH_POLICE_RECORDS,IO0204,2023-05-10 09:03:28,7bfc87b451c3004e768558b4803dd9e0d794bfca0ace0458271689ad2962adbf,7bfc87b451c3004e768558b4803dd9e0d794bfca0ace0458271689ad2962adbf,Intact,COC0000039,Restricted,2023-05-11 06:49:28
EVD0000040,C002264,CDR,evd0000040_cdr.csv,/synthetic-evidence/C002264/evd0000040_cdr.csv,SYNTH_CCTV_SYSTEM,IO0251,2023-12-23 22:48:03,a4daada57279ba90090903e8af97aa9d8c3a9e8772e7d52e207f1d585425284e,a4daada57279ba90090903e8af97aa9d8c3a9e8772e7d52e207f1d585425284e,Intact,COC0000040,Internal,2023-12-24 04:04:03
EVD0000041,C008340,LocationRecord,evd0000041_locationrecord.json,/synthetic-evidence/C008340/evd0000041_locationrecord.json,SYNTH_POLICE_RECORDS,IO0195,2022-10-08 23:11:46,c79b72e44e797f286aea70d09763fcb15c98b9e15506c4592ad748a60322a4c3,e1140f2bdb16b97ad953c4d2f881bb3ef5dfd747a93e5bc59e5d97864c05a8ba,HashMismatch,COC0000041,Highly Restricted,2022-10-09 12:35:46
EVD0000042,C009856,FIR,evd0000042_fir.pdf,/synthetic-evidence/C009856/evd0000042_fir.pdf,SYNTH_CCTV_SYSTEM,IO0315,2023-05-13 19:34:56,ab6343e4c6a3c2ed93e759dbd57087905facf59b8a7f431d43550f735c68cc92,ab6343e4c6a3c2ed93e759dbd57087905facf59b8a7f431d43550f735c68cc92,Intact,COC0000042,Highly Restricted,2023-05-14 17:14:56
EVD0000043,C002705,FIR,evd0000043_fir.pdf,/synthetic-evidence/C002705/evd0000043_fir.pdf,SYNTH_CDR_SYSTEM,IO0262,2022-01-20 10:59:40,8e8518d63fce6a5d383ee501c77f3bc5b34d6fc1c32c3088528f3fe98c59ebb0,8e8518d63fce6a5d383ee501c77f3bc5b34d6fc1c32c3088528f3fe98c59ebb0,Intact,COC0000043,Internal,2022-01-20 15:56:40
EVD0000044,C005439,Audio,evd0000044_audio.wav,/synthetic-evidence/C005439/evd0000044_audio.wav,SYNTH_CDR_SYSTEM,IO0229,2019-06-06 07:13:37,8a31c9222e6cac9f45f5987cf7875102ad931b952d61c50ba824606dc6552004,8a31c9222e6cac9f45f5987cf7875102ad931b952d61c50ba824606dc6552004,Intact,COC0000044,Highly Restricted,2019-06-06 19:28:37
EVD0000045,C003851,Audio,evd0000045_audio.wav,/synthetic-evidence/C003851/evd0000045_audio.wav,SYNTH_CCTV_SYSTEM,IO0171,2019-04-30 22:34:19,913493c5c6a99e355a0a58af41a5a157f18ea966855b0793c11221f615aec76c,913493c5c6a99e355a0a58af41a5a157f18ea966855b0793c11221f615aec76c,Intact,COC0000045,Restricted,2019-05-01 01:32:19
EVD0000046,C006045,Audio,evd0000046_audio.wav,/synthetic-evidence/C006045/evd0000046_audio.wav,SYNTH_DOCUMENT_SYSTEM,IO0344,2020-11-09 23:25:22,004d3c5b9964578f0f3b5a0af278a3cabbd16ce12fe160b2e521cca292418941,004d3c5b9964578f0f3b5a0af278a3cabbd16ce12fe160b2e521cca292418941,Intact,COC0000046,Confidential,2020-11-10 17:28:22
EVD0000047,C005477,FIR,evd0000047_fir.pdf,/synthetic-evidence/C005477/evd0000047_fir.pdf,SYNTH_LOCATION_SYSTEM,IO0236,2021-10-30 06:41:35,332c2b11a29ac67c4928374ea2b2502b2206d1345bd0b8e7abb80c6dcc9d1d04,332c2b11a29ac67c4928374ea2b2502b2206d1345bd0b8e7abb80c6dcc9d1d04,Intact,COC0000047,Highly Restricted,2021-10-30 08:15:35
EVD0000048,C002000,CDR,evd0000048_cdr.csv,/synthetic-evidence/C002000/evd0000048_cdr.csv,SYNTH_RTO_SYSTEM,IO0084,2026-08-02 21:34:00,2b0db75d4a11045fa10acac1f2a1563645b21838f2772ccf614af82b12becd46,2b0db75d4a11045fa10acac1f2a1563645b21838f2772ccf614af82b12becd46,Intact,COC0000048,Restricted,2026-08-03 08:42:00
EVD0000049,C004858,Audio,evd0000049_audio.wav,/synthetic-evidence/C004858/evd0000049_audio.wav,SYNTH_RTO_SYSTEM,IO0277,2019-01-03 12:02:36,24fe53349947c1a850b80d6df221f2d4e29d0f4ea1ed87e3e6d55c03ca5ff786,24fe53349947c1a850b80d6df221f2d4e29d0f4ea1ed87e3e6d55c03ca5ff786,Intact,COC0000049,Internal,2019-01-03 16:20:36
EVD0000050,C006025,CDR,evd0000050_cdr.csv,/synthetic-evidence/C006025/evd0000050_cdr.csv,SYNTH_CCTV_SYSTEM,IO0183,2020-05-13 18:01:14,750e1dc192d193e6bffd472326cf6d5ee72a3e955385257ebeb534ac6145c14d,750e1dc192d193e6bffd472326cf6d5ee72a3e955385257ebeb534ac6145c14d,Intact,COC0000050,Highly Restricted,2020-05-14 06:32:14
EVD0000051,C009609,FinancialRecord,evd0000051_financialrecord.csv,/synthetic-evidence/C009609/evd0000051_financialrecord.csv,SYNTH_CCTV_SYSTEM,IO0195,2024-11-24 07:19:02,f127ce6a456d96f8016eca447bc826288232552d59da5b2c250e45a4276c213a,f127ce6a456d96f8016eca447bc826288232552d59da5b2c250e45a4276c213a,Intact,COC0000051,Restricted,2024-11-24 12:01:02
EVD0000052,C008835,CDR,evd0000052_cdr.csv,/synthetic-evidence/C008835/evd0000052_cdr.csv,SYNTH_POLICE_RECORDS,IO0269,2025-04-02 09:26:55,b3ec4ea7967227f52251d2b2f4698a88155d693d614575ece23c1cf85fdeb669,b3ec4ea7967227f52251d2b2f4698a88155d693d614575ece23c1cf85fdeb669,Intact,COC0000052,Confidential,2025-04-02 21:04:55
EVD0000053,C009392,VehicleRecord,evd0000053_vehiclerecord.pdf,/synthetic-evidence/C009392/evd0000053_vehiclerecord.pdf,SYNTH_RTO_SYSTEM,IO0240,2024-09-26 22:11:04,17ea42b2ffe1b65d0339469debf7c653c9f623155de88f5513c35706aebe7d01,17ea42b2ffe1b65d0339469debf7c653c9f623155de88f5513c35706aebe7d01,Intact,COC0000053,Confidential,2024-09-27 03:56:04
EVD0000054,C000844,LocationRecord,evd0000054_locationrecord.json,/synthetic-evidence/C000844/evd0000054_locationrecord.json,SYNTH_DOCUMENT_SYSTEM,IO0277,2022-06-16 11:42:30,2e059a56f0f6f5508c0a066e8f65aae8f82294a55a8e322fb56b34f8e496dc31,2e059a56f0f6f5508c0a066e8f65aae8f82294a55a8e322fb56b34f8e496dc31,Intact,COC0000054,Restricted,2022-06-17 09:11:30
EVD0000055,C003835,CCTV,evd0000055_cctv.mp4,/synthetic-evidence/C003835/evd0000055_cctv.mp4,SYNTH_DOCUMENT_SYSTEM,IO0163,2019-11-25 00:57:59,1ffe7118988fba5d541f1bea79819cae0eb2d37844962309bc4c90edf8243fd3,1ffe7118988fba5d541f1bea79819cae0eb2d37844962309bc4c90edf8243fd3,Intact,COC0000055,Internal,2019-11-25 05:30:59
EVD0000056,C007338,CCTV,evd0000056_cctv.mp4,/synthetic-evidence/C007338/evd0000056_cctv.mp4,SYNTH_LOCATION_SYSTEM,IO0282,2023-08-21 03:18:44,d7fb11d99ee0e311bcddc933f10a950a72b257af682c6c677a90d59ac7d177d2,d7fb11d99ee0e311bcddc933f10a950a72b257af682c6c677a90d59ac7d177d2,Intact,COC0000056,Restricted,2023-08-22 00:02:44
EVD0000057,C005633,VehicleRecord,evd0000057_vehiclerecord.pdf,/synthetic-evidence/C005633/evd0000057_vehiclerecord.pdf,SYNTH_CDR_SYSTEM,IO0081,2019-11-27 06:15:22,a7b98607af67cdac9e29883a9b3a7293b62414da84dec6176399ca39c6ba96c1,a7b98607af67cdac9e29883a9b3a7293b62414da84dec6176399ca39c6ba96c1,Intact,COC0000057,Confidential,2019-11-27 18:48:22
EVD0000058,C009499,Image,evd0000058_image.jpg,/synthetic-evidence/C009499/evd0000058_image.jpg,SYNTH_BANK_SYSTEM,IO0150,2023-01-08 07:37:58,4708cb16149326707d14f6e792038ad58f384c404efdd598ded44599e70bc208,4708cb16149326707d14f6e792038ad58f384c404efdd598ded44599e70bc208,Intact,COC0000058,Internal,2023-01-08 19:39:58
EVD0000059,C006409,FinancialRecord,evd0000059_financialrecord.csv,/synthetic-evidence/C006409/evd0000059_financialrecord.csv,SYNTH_POLICE_RECORDS,IO0146,2022-09-01 19:32:21,4e1bf935a253ad2561ebb5705e516b6411823d94f99a6ea96d5453a1bd2d3fc6,4e1bf935a253ad2561ebb5705e516b6411823d94f99a6ea96d5453a1bd2d3fc6,Intact,COC0000059,Internal,2022-09-02 07:15:21
EVD0000060,C005316,CDR,evd0000060_cdr.csv,/synthetic-evidence/C005316/evd0000060_cdr.csv,SYNTH_LOCATION_SYSTEM,IO0228,2025-09-22 11:23:24,93bdd56564873fadf5d432bdabbc643beea07274813f57bc27b67d7cd80edb8a,93bdd56564873fadf5d432bdabbc643beea07274813f57bc27b67d7cd80edb8a,Intact,COC0000060,Restricted,2025-09-22 22:15:24
EVD0000061,C007111,Image,evd0000061_image.jpg,/synthetic-evidence/C007111/evd0000061_image.jpg,SYNTH_BANK_SYSTEM,IO0304,2022-08-01 23:47:06,7047eac252d1304dcc7d0030ec44c03d7a9f01ff8a4ce3c254e61845badf180b,7047eac252d1304dcc7d0030ec44c03d7a9f01ff8a4ce3c254e61845badf180b,Intact,COC0000061,Confidential,2022-08-02 08:26:06
EVD0000062,C001785,CCTV,evd0000062_cctv.mp4,/synthetic-evidence/C001785/evd0000062_cctv.mp4,SYNTH_POLICE_RECORDS,IO0163,2022-12-27 15:12:43,c5ac5e2958de71640991ae899f489506d2f19fb3fe6bf2d1651241ae18f33a76,c5ac5e2958de71640991ae899f489506d2f19fb3fe6bf2d1651241ae18f33a76,Intact,COC0000062,Highly Restricted,2022-12-27 18:13:43
EVD0000063,C007655,VehicleRecord,evd0000063_vehiclerecord.pdf,/synthetic-evidence/C007655/evd0000063_vehiclerecord.pdf,SYNTH_CDR_SYSTEM,IO0146,2024-02-01 22:14:37,0f2b020e9316b664735bd7406b24fbe434ad87aa5f89562b2f56b4e62d7bf1e6,0f2b020e9316b664735bd7406b24fbe434ad87aa5f89562b2f56b4e62d7bf1e6,Intact,COC0000063,Confidential,2024-02-02 01:29:37
EVD0000064,C006670,LocationRecord,evd0000064_locationrecord.json,/synthetic-evidence/C006670/evd0000064_locationrecord.json,SYNTH_DOCUMENT_SYSTEM,IO0182,2025-06-23 18:25:21,b5abd85b6df3aa269bdd8a57b32b0e97592c6487f3d6b9af0896a1f70c560734,b5abd85b6df3aa269bdd8a57b32b0e97592c6487f3d6b9af0896a1f70c560734,Intact,COC0000064,Confidential,2025-06-24 17:34:21
EVD0000065,C001922,Report,evd0000065_report.pdf,/synthetic-evidence/C001922/evd0000065_report.pdf,SYNTH_POLICE_RECORDS,IO0191,2025-08-30 13:05:17,55e67213e1f2045f75a416facf7a05bb274163cb258fbc812a395e6f915c4712,55e67213e1f2045f75a416facf7a05bb274163cb258fbc812a395e6f915c4712,Intact,COC0000065,Highly Restricted,2025-08-30 16:43:17
EVD0000066,C000815,LocationRecord,evd0000066_locationrecord.json,/synthetic-evidence/C000815/evd0000066_locationrecord.json,SYNTH_CDR_SYSTEM,IO0019,2024-05-27 03:35:21,665bd3e08850f5c6e6b535cfc99fdc711500376f7a9672bfa230313adbeef5fa,665bd3e08850f5c6e6b535cfc99fdc711500376f7a9672bfa230313adbeef5fa,Intact,COC0000066,Restricted,2024-05-28 00:28:21
