transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,channel,merchant_id,location_id,reference_number,status,description,source
TXN0000012,2021-10-21 00:31:35,ACC006579,ACC009357,166235.39,INR,BankTransfer,POS,,LOC003349,REF6688406378,Failed,Synthetic BankTransfer transaction,SYNTH_LEGACY_FINANCE
TXN0000013,2020-10-31 13:51:17,ACC002042,ACC000090,242558.44,INR,BankTransfer,Mobile,,LOC002137,REF7705101570,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000014,2019-01-10 12:03:19,ACC008672,ACC004488,21780.96,INR,UPI,Mobile,MER02456,LOC003703,REF5902453334,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000015,2019-01-06 17:43:58,ACC001303,ACC007953,73169.47,INR,BankTransfer,Internet Banking,,LOC003566,REF4979512254,Completed,Synthetic BankTransfer transaction,SYNTH_LEGACY_FINANCE
TXN0000016,2023-01-23 09:27:29,ACC008686,ACC002620,191205.90,INR,BankTransfer,POS,,LOC001267,REF7607790147,Completed,Synthetic BankTransfer transaction,SYNTH_CARD_SYSTEM
TXN0000017,2022-11-26 21:53:01,ACC003370,ACC008007,122244.90,INR,BankTransfer,Mobile,,LOC004516,REF5800419604,Completed,Synthetic BankTransfer transaction,SYNTH_LEGACY_FINANCE
TXN0000018,2019-07-22 02:12:07,ACC001271,ACC009261,45311.37,INR,UPI,Internet Banking,MER01806,LOC004202,REF2530019888,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000019,2023-08-19 19:09:16,ACC003779,ACC001390,41971.35,INR,IMPS,Internet Banking,,LOC003138,REF3365421737,Completed,Synthetic IMPS transaction,SYNTH_BANK_CORE
TXN0000020,2025-11-17 19:55:29,ACC002631,ACC009161,35362.00,INR,UPI,Mobile,MER00779,LOC000136,REF5366372146,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000021,2025-03-13 07:06:30,ACC004877,ACC001363,22800.54,INR,UPI,Mobile,MER00761,LOC001098,REF5548309379,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000022,2023-09-30 02:36:24,ACC001359,ACC001561,36986.75,INR,Card,Mobile,MER02599,LOC002361,REF7062694440,Completed,Synthetic Card transaction,SYNTH_LEGACY_FINANCE
TXN0000023,2023-02-21 01:36:22,ACC001022,ACC007272,24588.65,INR,UPI,Mobile,MER01790,LOC004370,REF8035808087,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000024,2025-06-28 23:19:38,ACC005310,ACC007874,41848.78,INR,CashWithdrawal,Branch,,LOC000370,REF4601428912,Failed,Synthetic CashWithdrawal transaction,SYNTH_UPI_SWITCH
TXN0000025,2020-06-09 23:04:03,ACC000430,ACC007445,88841.50,INR,NEFT,API,,LOC003956,REF7147786283,Completed,Synthetic NEFT transaction,SYNTH_LEGACY_FINANCE
TXN0000026,2021-08-12 00:40:26,ACC008208,ACC001995,54326.44,INR,UPI,Branch,MER01253,LOC001880,REF1245721714,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000027,2021-12-21 01:00:43,ACC001638,ACC006962,70428.80,INR,UPI,Internet Banking,MER02841,LOC001773,REF8662495879,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000028,2024-08-27 15:05:48,ACC003240,ACC003495,1996393.32,INR,RTGS,Mobile,,LOC002531,REF2216577691,Completed,Synthetic RTGS transaction,SYNTH_BANK_CORE
TXN0000029,2026-06-14 13:30:55,ACC003638,ACC004363,39970.97,INR,UPI,Branch,MER00034,LOC003907,REF2987402146,Completed,Synthetic UPI transaction,SYNTH_LEGACY_FINANCE
TXN0000030,2021-05-03 16:15:39,ACC002369,ACC001630,20859.37,INR,Card,API,MER02718,LOC001892,REF2398249105,Completed,Synthetic Card transaction,SYNTH_BANK_CORE
TXN0000031,2019-06-02 12:54:05,ACC007707,ACC009020,13471.28,INR,Card,Branch,MER00045,LOC002236,REF4816370704,Completed,Synthetic Card transaction,SYNTH_NEFT_RTGS
TXN0000032,2022-04-22 07:17:36,ACC004610,ACC004117,83441.03,INR,CashDeposit,API,,LOC003246,REF5372189624,Completed,Synthetic CashDeposit transaction,SYNTH_LEGACY_FINANCE
TXN0000033,2020-02-17 18:19:26,ACC007769,ACC002829,32239.30,INR,Card,API,MER00897,LOC001802,REF9521705041,Completed,Synthetic Card transaction,SYNTH_LEGACY_FINANCE
TXN0000034,2022-11-29 20:15:09,ACC002106,ACC006695,20591.87,INR,NEFT,Mobile,,LOC000537,REF7934815665,Completed,Synthetic NEFT transaction,SYNTH_NEFT_RTGS
TXN0000035,2020-11-16 16:43:51,ACC005840,ACC004771,379665.75,INR,RTGS,ATM,,LOC003454,REF8942132163,Completed,Synthetic RTGS transaction,SYNTH_NEFT_RTGS
TXN0000036,2023-10-30 09:56:38,ACC002305,ACC003770,115481.74,INR,NEFT,API,,LOC000180,REF7948049074,Completed,Synthetic NEFT transaction,SYNTH_NEFT_RTGS
TXN0000037,2025-05-05 19:26:01,ACC005485,ACC006781,47888.58,INR,IMPS,POS,,LOC003048,REF4130277660,Completed,Synthetic IMPS transaction,SYNTH_LEGACY_FINANCE
TXN0000038,2026-06-17 11:03:57,ACC003446,ACC008571,860936.94,INR,RTGS,Branch,,LOC004195,REF2724265461,Completed,Synthetic RTGS transaction,SYNTH_NEFT_RTGS
TXN0000039,2025-12-12 15:18:30,ACC003725,ACC005217,20449.75,INR,UPI,API,MER02560,LOC000714,REF5134000992,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000040,2025-07-30 05:22:33,ACC008284,ACC007252,267720.15,INR,BankTransfer,POS,,LOC000206,REF6861611266,Completed,Synthetic BankTransfer transaction,SYNTH_UPI_SWITCH
TXN0000041,2023-06-12 06:47:38,ACC006263,ACC007643,26535.71,INR,UPI,ATM,MER00669,LOC004931,REF3711126232,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000042,2023-09-24 23:33:01,ACC006440,ACC004515,11372.73,INR,Card,ATM,MER00785,LOC003556,REF9832778323,Completed,Synthetic Card transaction,SYNTH_CARD_SYSTEM
TXN0000043,2022-01-07 06:07:15,ACC000486,ACC003733,196461.69,INR,IMPS,Mobile,,LOC002079,REF9516220224,Completed,Synthetic IMPS transaction,SYNTH_CARD_SYSTEM
TXN0000044,2020-06-19 04:00:31,ACC007449,ACC009612,16564.54,INR,UPI,ATM,MER01995,LOC004684,REF3643226823,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000045,2021-01-06 23:55:51,ACC006633,ACC000415,69882.90,INR,UPI,API,MER02317,LOC004432,REF9156889513,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000046,2021-06-25 15:33:46,ACC004808,ACC004980,169218.13,INR,BankTransfer,API,,LOC000198,REF5126871584,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000047,2019-09-02 22:28:59,ACC000936,ACC006973,45967.41,INR,UPI,Mobile,MER02603,LOC004740,REF2404434613,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000048,2019-07-27 13:07:46,ACC004600,ACC007137,31430.09,INR,UPI,Branch,MER01976,LOC001339,REF5669241403,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000049,2026-02-12 15:24:57,ACC005981,ACC001228,454608.94,INR,NEFT,Internet Banking,,LOC004738,REF4738737534,Reversed,Synthetic NEFT transaction,SYNTH_BANK_CORE
TXN0000050,2026-01-06 03:04:57,ACC003367,ACC000852,35586.88,INR,UPI,Internet Banking,MER01577,LOC002626,REF6982077936,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000051,2021-07-12 03:31:45,ACC003662,ACC001662,209167.50,INR,NEFT,Mobile,,LOC002387,REF9073741534,Completed,Synthetic NEFT transaction,SYNTH_CARD_SYSTEM
TXN0000052,2022-05-28 05:19:44,ACC000519,ACC009852,6024.21,INR,UPI,Mobile,MER00477,LOC003370,REF8044856806,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000053,2021-05-27 15:58:56,ACC003141,ACC004709,28794.74,INR,Card,Internet Banking,MER00523,LOC003404,REF1675376017,Completed,Synthetic Card transaction,SYNTH_NEFT_RTGS
TXN0000054,2022-10-11 05:43:02,ACC004501,ACC006503,45844.57,INR,NEFT,API,,LOC001870,REF2551132095,Completed,Synthetic NEFT transaction,SYNTH_LEGACY_FINANCE
TXN0000055,2019-02-18 03:14:20,ACC007381,ACC006143,28429.45,INR,IMPS,API,,LOC000579,REF8458334419,Completed,Synthetic IMPS transaction,SYNTH_UPI_SWITCH
TXN0000056,2020-11-17 15:12:01,ACC002995,ACC003361,2266.66,INR,Card,Branch,MER02725,LOC004619,REF8363161999,Completed,Synthetic Card transaction,SYNTH_CARD_SYSTEM
TXN0000057,2019-07-02 05:00:47,ACC000254,ACC003613,26227.33,INR,UPI,POS,MER00279,LOC000804,REF8196763682,Completed,Synthetic UPI transaction,SYNTH_LEGACY_FINANCE
TXN0000058,2025-08-18 03:38:17,ACC009789,ACC008906,2950.01,INR,NEFT,ATM,,LOC004053,REF1900794177,Reversed,Synthetic NEFT transaction,SYNTH_BANK_CORE
TXN0000059,2019-11-05 04:55:11,ACC008157,ACC009590,193129.19,INR,IMPS,Mobile,,LOC002790,REF2064797207,Completed,Synthetic IMPS transaction,SYNTH_UPI_SWITCH
TXN0000060,2020-12-08 17:32:24,ACC004107,ACC006698,16289.88,INR,CashWithdrawal,POS,,LOC004593,REF5607389120,Completed,Synthetic CashWithdrawal transaction,SYNTH_LEGACY_FINANCE
TXN0000061,2022-06-29 00:38:20,ACC000020,ACC000977,41864.81,INR,UPI,Internet Banking,MER00951,LOC003760,REF9368906067,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000062,2026-05-27 10:41:22,ACC009108,ACC004178,79961.82,INR,CashDeposit,Mobile,,LOC002309,REF4991965085,Failed,Synthetic CashDeposit transaction,SYNTH_NEFT_RTGS
TXN0000063,2023-10-03 04:00:55,ACC009734,ACC004141,52682.01,INR,UPI,API,MER02236,LOC000173,REF9643883997,Completed,Synthetic UPI transaction,SYNTH_LEGACY_FINANCE
TXN0000064,2022-06-26 12:04:50,ACC009256,ACC002891,267782.91,INR,NEFT,Branch,,LOC001745,REF7431476158,Completed,Synthetic NEFT transaction,SYNTH_CARD_SYSTEM
TXN0000065,2020-10-15 13:56:08,ACC009990,ACC004381,53475.73,INR,IMPS,API,,LOC004425,REF4258686637,Completed,Synthetic IMPS transaction,SYNTH_UPI_SWITCH
TXN0000066,2023-07-11 02:56:21,ACC006814,ACC004876,2457559.64,INR,RTGS,API,,LOC001950,REF5276975048,Completed,Synthetic RTGS transaction,SYNTH_BANK_CORE
TXN0000067,2019-05-09 01:25:04,ACC000656,ACC003894,59267.37,INR,UPI,POS,MER00972,LOC001514,REF2256560642,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000068,2026-06-17 13:34:28,ACC009206,ACC004672,25149.61,INR,UPI,API,MER02830,LOC001392,REF5362828015,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000069,2025-10-25 12:29:14,ACC000242,ACC000104,117742.28,INR,IMPS,Branch,,LOC003634,REF8295857525,Completed,Synthetic IMPS transaction,SYNTH_UPI_SWITCH
TXN0000070,2026-05-08 07:10:37,ACC000517,ACC002110,42985.24,INR,UPI,Internet Banking,MER00989,LOC001079,REF5783234318,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000071,2024-10-07 07:59:23,ACC009835,ACC000111,793467.54,INR,RTGS,ATM,,LOC004941,REF3640669489,Completed,Synthetic RTGS transaction,SYNTH_LEGACY_FINANCE
TXN0000072,2022-01-11 08:05:40,ACC004117,ACC008784,235669.33,INR,NEFT,ATM,,LOC001461,REF4550586026,Completed,Synthetic NEFT transaction,SYNTH_NEFT_RTGS
TXN0000073,2022-09-18 11:45:04,ACC000492,ACC006745,44008.73,INR,IMPS,ATM,,LOC004543,REF5077981247,Completed,Synthetic IMPS transaction,SYNTH_CARD_SYSTEM
TXN0000074,2022-01-08 07:03:38,ACC009847,ACC002835,53058.82,INR,UPI,Internet Banking,MER01587,LOC002673,REF9664796500,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000075,2025-01-03 11:01:43,ACC006553,ACC007744,144076.86,INR,BankTransfer,Internet Banking,,LOC004641,REF7765578591,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000076,2022-06-27 12:02:39,ACC002215,ACC001369,44769.78,INR,UPI,Internet Banking,MER00003,LOC003394,REF4779205137,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000077,2025-08-27 12:22:02,ACC005776,ACC000554,188663.73,INR,IMPS,Branch,,LOC004047,REF5130934836,Completed,Synthetic IMPS transaction,SYNTH_CARD_SYSTEM
TXN0000078,2019-07-16 08:39:01,ACC000553,ACC007002,74991.42,INR,CashWithdrawal,Mobile,,LOC002220,REF1034522998,Completed,Synthetic CashWithdrawal transaction,SYNTH_CARD_SYSTEM
TXN0000079,2024-02-12 05:25:45,ACC004166,ACC002082,8101.09,INR,UPI,Mobile,MER01777,LOC003825,REF9612517138,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000080,2025-08-05 23:33:37,ACC002274,ACC007539,159770.21,INR,BankTransfer,POS,,LOC000668,REF1137440052,Completed,Synthetic BankTransfer transaction,SYNTH_CARD_SYSTEM
TXN0000081,2020-10-11 18:23:09,ACC004389,ACC009233,2401.89,INR,Card,Branch,MER00062,LOC001055,REF6681307709,Completed,Synthetic Card transaction,SYNTH_UPI_SWITCH
TXN0000082,2020-03-23 18:15:57,ACC007108,ACC000832,74426.95,INR,UPI,POS,MER01521,LOC002417,REF9245555341,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000083,2026-06-09 22:59:18,ACC007232,ACC009594,150796.85,INR,IMPS,Branch,,LOC002060,REF5945280630,Completed,Synthetic IMPS transaction,SYNTH_NEFT_RTGS
TXN0000084,2020-03-15 13:16:14,ACC005568,ACC002715,2111749.12,INR,RTGS,Mobile,,LOC003550,REF7009083862,Completed,Synthetic RTGS transaction,SYNTH_UPI_SWITCH
TXN0000085,2022-07-13 03:25:38,ACC009746,ACC009290,145295.73,INR,IMPS,Internet Banking,,LOC001877,REF6260450009,Completed,Synthetic IMPS transaction,SYNTH_CARD_SYSTEM
TXN0000086,2023-12-22 13:06:06,ACC009501,ACC004674,51947.35,INR,UPI,Branch,MER00848,LOC000065,REF2758753649,Pending,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000087,2019-04-27 15:04:12,ACC009307,ACC001982,56382.45,INR,UPI,ATM,MER00406,LOC004565,REF4888031848,Pending,Synthetic UPI transaction,SYNTH_LEGACY_FINANCE
TXN0000088,2020-07-01 03:55:59,ACC006735,ACC002664,406.36,INR,UPI,POS,MER01581,LOC002526,REF5169368438,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000089,2023-08-18 22:35:32,ACC004181,ACC004163,165050.72,INR,IMPS,ATM,,LOC002956,REF1818125547,Completed,Synthetic IMPS transaction,SYNTH_LEGACY_FINANCE
TXN0000090,2023-05-15 19:27:23,ACC003123,ACC009078,410732.96,INR,NEFT,POS,,LOC003805,REF3469220120,Completed,Synthetic NEFT transaction,SYNTH_NEFT_RTGS
TXN0000091,2022-05-22 16:55:03,ACC009749,ACC008620,17570.04,INR,CashWithdrawal,Mobile,,LOC000743,REF7584898904,Completed,Synthetic CashWithdrawal transaction,SYNTH_NEFT_RTGS
TXN0000092,2021-07-21 17:17:52,ACC009143,ACC001083,29740.82,INR,UPI,Mobile,MER01545,LOC002818,REF7314800990,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000093,2025-10-02 23:19:13,ACC005074,ACC002515,18917.01,INR,UPI,ATM,MER01363,LOC003045,REF6607789073,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000094,2026-08-24 08:19:37,ACC002247,ACC006507,23164.22,INR,UPI,POS,MER00308,LOC000276,REF3347199237,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000095,2025-06-20 10:58:24,ACC007356,ACC004067,52894.79,INR,IMPS,Branch,,LOC003297,REF2776415854,Completed,Synthetic IMPS transaction,SYNTH_LEGACY_FINANCE
TXN0000096,2022-05-02 11:22:04,ACC002325,ACC007637,122819.04,INR,NEFT,Branch,,LOC002651,REF3071643599,Completed,Synthetic NEFT transaction,SYNTH_NEFT_RTGS
TXN0000097,2020-08-26 03:24:54,ACC003923,ACC001146,291403.94,INR,NEFT,Internet Banking,,LOC002012,REF5040405556,Completed,Synthetic NEFT transaction,SYNTH_LEGACY_FINANCE
TXN0000098,2020-12-14 10:34:50,ACC000338,ACC003203,54458.34,INR,UPI,ATM,MER01653,LOC004616,REF3311678554,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000099,2021-10-22 23:45:11,ACC007044,ACC000231,272067.32,INR,BankTransfer,ATM,,LOC004590,REF7982881562,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000100,2022-06-14 04:54:06,ACC001509,ACC007218,155769.82,INR,IMPS,Branch,,LOC001574,REF9351883187,Completed,Synthetic IMPS transaction,SYNTH_BANK_CORE
TXN0000101,2022-08-21 14:14:14,ACC001142,ACC001708,55497.72,INR,CashDeposit,API,,LOC004196,REF7517452384,Completed,Synthetic CashDeposit transaction,SYNTH_BANK_CORE
TXN0000102,2021-10-22 11:56:52,ACC001124,ACC007623,79414.02,INR,BankTransfer,Mobile,,LOC001138,REF5561075906,Pending,Synthetic BankTransfer transaction,SYNTH_UPI_SWITCH
TXN0000103,2022-09-12 12:29:41,ACC006295,ACC008575,25156.36,INR,CashWithdrawal,Branch,,LOC002523,REF6567841624,Completed,Synthetic CashWithdrawal transaction,SYNTH_NEFT_RTGS
TXN0000104,2019-08-08 15:54:58,ACC004622,ACC006845,60634.81,INR,UPI,Mobile,MER00838,LOC002195,REF9115104924,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000105,2022-07-06 18:58:41,ACC008672,ACC008220,34891.51,INR,CashWithdrawal,API,,LOC001463,REF3350221903,Completed,Synthetic CashWithdrawal transaction,SYNTH_BANK_CORE
TXN0000106,2023-05-30 05:01:04,ACC000828,ACC007509,33960.44,INR,Card,POS,MER00792,LOC002572,REF4918244169,Completed,Synthetic Card transaction,SYNTH_BANK_CORE
TXN0000107,2026-02-26 10:49:33,ACC005263,ACC005078,7095.83,INR,UPI,Mobile,MER01189,LOC001159,REF1946747940,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000108,2026-03-02 20:26:24,ACC008356,ACC001568,66303.23,INR,CashDeposit,ATM,,LOC000941,REF6050820521,Completed,Synthetic CashDeposit transaction,SYNTH_NEFT_RTGS
TXN0000109,2025-02-19 15:53:33,ACC002171,ACC008654,54948.62,INR,UPI,Internet Banking,MER01665,LOC002373,REF7229714183,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
TXN0000110,2025-12-27 14:03:32,ACC006403,ACC002232,36584.04,INR,Card,Internet Banking,MER02655,LOC004410,REF9607773134,Completed,Synthetic Card transaction,SYNTH_UPI_SWITCH
TXN0000111,2023-10-17 21:23:08,ACC002736,ACC009151,24740.88,INR,CashDeposit,POS,,LOC000659,REF1532962792,Completed,Synthetic CashDeposit transaction,SYNTH_NEFT_RTGS
TXN0000112,2021-01-25 21:45:40,ACC007613,ACC005641,5069.74,INR,UPI,Branch,MER01726,LOC004673,REF8083658398,Completed,Synthetic UPI transaction,SYNTH_CARD_SYSTEM
TXN0000113,2020-06-19 01:16:38,ACC000487,ACC007054,175527.66,INR,BankTransfer,API,,LOC003115,REF8051419154,Completed,Synthetic BankTransfer transaction,SYNTH_LEGACY_FINANCE
TXN0000114,2026-01-29 03:15:29,ACC002829,ACC006089,859244.38,INR,RTGS,Branch,,LOC001622,REF8376750570,Completed,Synthetic RTGS transaction,SYNTH_NEFT_RTGS
TXN0000115,2019-06-03 10:50:49,ACC000309,ACC009441,2393489.09,INR,RTGS,Branch,,LOC000414,REF2233492652,Completed,Synthetic RTGS transaction,SYNTH_LEGACY_FINANCE
TXN0000116,2021-03-15 23:13:34,ACC009734,ACC009776,1411434.29,INR,RTGS,POS,,LOC003678,REF9701787915,Completed,Synthetic RTGS transaction,SYNTH_BANK_CORE
TXN0000117,2023-01-17 04:57:38,ACC007966,ACC007399,50104.13,INR,UPI,ATM,MER02383,LOC001286,REF7591196770,Completed,Synthetic UPI transaction,SYNTH_LEGACY_FINANCE
TXN0000118,2020-05-15 03:25:39,ACC005941,ACC000064,89141.70,INR,BankTransfer,ATM,,LOC003647,REF7693311591,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000119,2019-11-15 17:18:14,ACC004681,ACC000177,55791.65,INR,UPI,POS,MER00686,LOC002065,REF1361857150,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000120,2020-10-09 23:34:55,ACC006861,ACC005994,67974.37,INR,UPI,POS,MER00595,LOC000694,REF2377043017,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000121,2022-01-21 09:07:29,ACC005554,ACC002856,553619.23,INR,RTGS,Branch,,LOC004996,REF1163752612,Completed,Synthetic RTGS transaction,SYNTH_LEGACY_FINANCE
TXN0000122,2020-02-05 08:43:02,ACC002021,ACC001062,65956.69,INR,UPI,Branch,MER01436,LOC001123,REF2139959523,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000123,2021-01-03 13:02:01,ACC000787,ACC000253,38309.29,INR,UPI,ATM,MER01417,LOC002884,REF2336465914,Completed,Synthetic UPI transaction,SYNTH_UPI_SWITCH
TXN0000124,2020-06-10 21:15:44,ACC005614,ACC000060,194039.02,INR,IMPS,Internet Banking,,LOC002980,REF8380520226,Completed,Synthetic IMPS transaction,SYNTH_UPI_SWITCH
TXN0000125,2019-08-07 02:36:02,ACC001372,ACC005667,74782.17,INR,UPI,Branch,MER01457,LOC000748,REF8958836159,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
TXN0000126,2023-05-26 09:33:58,ACC008313,ACC003399,2901.71,INR,Card,POS,MER01191,LOC003361,REF2623038984,Failed,Synthetic Card transaction,SYNTH_NEFT_RTGS
TXN0000127,2020-06-27 18:37:11,ACC000172,ACC000542,35903.46,INR,CashWithdrawal,Branch,,LOC000966,REF5861286802,Completed,Synthetic CashWithdrawal transaction,SYNTH_NEFT_RTGS
TXN0000128,2025-01-04 20:28:34,ACC000758,ACC005919,1165.55,INR,IMPS,API,,LOC000117,REF5184108115,Completed,Synthetic IMPS transaction,SYNTH_NEFT_RTGS
TXN0000129,2026-06-20 17:31:37,ACC007014,ACC002043,29940.45,INR,BankTransfer,ATM,,LOC001424,REF2298071820,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000130,2021-09-01 00:47:47,ACC001445,ACC004765,13133.94,INR,Card,Mobile,MER01583,LOC004500,REF4581742527,Completed,Synthetic Card transaction,SYNTH_UPI_SWITCH
TXN0000131,2019-11-09 03:21:28,ACC001314,ACC008370,63176.07,INR,BankTransfer,API,,LOC003906,REF5443804503,Completed,Synthetic BankTransfer transaction,SYNTH_NEFT_RTGS
TXN0000132,2020-05-27 16:50:47,ACC006921,ACC009151,59496.27,INR,BankTransfer,API,,LOC001517,REF8230938516,Completed,Synthetic BankTransfer transaction,SYNTH_CARD_SYSTEM
TXN0000133,2020-05-02 11:53:01,ACC009275,ACC005817,207531.93,INR,BankTransfer,ATM,,LOC000043,REF9441135817,Completed,Synthetic BankTransfer transaction,SYNTH_NEFT_RTGS
TXN0000134,2019-11-28 15:30:56,ACC002697,ACC002431,168416.65,INR,IMPS,API,,LOC004268,REF6528754452,Completed,Synthetic IMPS transaction,SYNTH_LEGACY_FINANCE
TXN0000135,2021-01-08 15:00:36,ACC001010,ACC004828,85654.01,INR,CashDeposit,Internet Banking,,LOC004754,REF8354034259,Completed,Synthetic CashDeposit transaction,SYNTH_UPI_SWITCH
TXN0000136,2023-03-08 17:48:18,ACC002628,ACC003663,31826.92,INR,CashWithdrawal,API,,LOC003883,REF1889394727,Completed,Synthetic CashWithdrawal transaction,SYNTH_BANK_CORE
TXN0000137,2019-03-08 12:30:23,ACC004697,ACC001253,11629.71,INR,BankTransfer,Internet Banking,,LOC004326,REF1053008208,Completed,Synthetic BankTransfer transaction,SYNTH_UPI_SWITCH
TXN0000138,2023-07-11 00:06:56,ACC002986,ACC004158,97428.15,INR,CashWithdrawal,API,,LOC001999,REF7963390955,Completed,Synthetic CashWithdrawal transaction,SYNTH_CARD_SYSTEM
TXN0000139,2025-06-12 18:32:03,ACC009326,ACC001009,120937.57,INR,BankTransfer,API,,LOC004078,REF9129232451,Completed,Synthetic BankTransfer transaction,SYNTH_BANK_CORE
TXN0000140,2023-10-02 14:42:45,ACC004935,ACC002043,2181851.29,INR,RTGS,POS,,LOC004874,REF1807168036,Completed,Synthetic RTGS transaction,SYNTH_CARD_SYSTEM
TXN0000141,2025-10-17 00:07:01,ACC003029,ACC000766,49277.27,INR,UPI,Internet Banking,MER00304,LOC000089,REF9796941514,Completed,Synthetic UPI transaction,SYNTH_BANK_CORE
