location_id,location_name,location_type,address,area,city,district,state,pincode,latitude,longitude,sensitivity_level
LOC000017,Synthetic Warehouse - Kondhwa 0017,Warehouse,"137, Main Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.464075,73.884098,Low
LOC000018,Synthetic Residence - Swargate 0018,Residence,"279, Park Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.506921,73.864644,High
LOC000019,Synthetic Residence - Hadapsar 0019,Residence,"614, Station Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.514039,73.918176,Low
LOC000020,Synthetic Hotel - Yerawada 0020,Hotel,"135, Market Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.541536,73.876069,Medium
LOC000021,Synthetic Meeting Point - Vishrantwadi 0021,Meeting Point,"347, Temple Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.569566,73.882656,Low
LOC000022,Synthetic Residence - Baner 0022,Residence,"683, Temple Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.554526,73.783763,Low
LOC000023,Synthetic Police Station - Aundh,Police Station,"107, Park Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.5516,73.807552,Medium
LOC000024,Synthetic Residence - Aundh 0024,Residence,"693, Park Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.559405,73.807892,Medium
LOC000025,Synthetic Residence - Hadapsar 0025,Residence,"158, Industrial Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.506883,73.919683,Low
LOC000026,Synthetic Residence - Shivajinagar 0026,Residence,"162, College Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.524366,73.846169,Medium
LOC000027,Synthetic Transport Hub - Aundh 0027,Transport Hub,"127, Station Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.552234,73.811221,Medium
LOC000028,Synthetic Workplace - Dhankawadi 0028,Workplace,"947, Park Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.468198,73.849969,Low
LOC000029,Synthetic ATM - Wakad 0029,ATM,"434, Nagar Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.596719,73.76052,Medium
LOC000030,Synthetic Restaurant - Aundh 0030,Restaurant,"522, Station Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.566089,73.810975,Low
LOC000031,Synthetic Police Station - Chinchwad,Police Station,"925, Station Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.634365,73.800707,Medium
LOC000032,Synthetic Bank - Dhankawadi 0032,Bank,"921, Canal Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.466343,73.85524,Low
LOC000033,Synthetic Residence - Pimpri 0033,Residence,"870, Park Road, Pimpri, Pune",Pimpri,Pune,Pune,Maharashtra,411018,18.624636,73.804949,Medium
LOC000034,Synthetic Restaurant - Aundh 0034,Restaurant,"911, Nagar Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.562618,73.814028,Medium
LOC000035,Synthetic ATM - Swargate 0035,ATM,"850, Park Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.507629,73.858068,High
LOC000036,Synthetic Police Station - Chinchwad,Police Station,"303, Market Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.627289,73.792817,Low
LOC000037,Synthetic Meeting Point - Wakad 0037,Meeting Point,"19, Temple Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.599686,73.764613,High
LOC000038,Synthetic ATM - Chinchwad 0038,ATM,"759, Park Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.624371,73.792695,Low
LOC000039,Synthetic Warehouse - Wakad 0039,Warehouse,"105, Main Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.60598,73.770448,Low
LOC000040,Synthetic Residence - Baner 0040,Residence,"299, Nagar Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.563893,73.788386,Medium
LOC000041,Synthetic Other - Viman Nagar 0041,Other,"952, Market Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.572006,73.907902,Medium
LOC000042,Synthetic Residence - Viman Nagar 0042,Residence,"245, Temple Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.567452,73.907394,Medium
LOC000043,Synthetic Transport Hub - Baner 0043,Transport Hub,"545, Station Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.565588,73.792848,Low
LOC000044,Synthetic Transport Hub - Vishrantwadi 0044,Transport Hub,"157, Station Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.561474,73.882529,High
LOC000045,Synthetic Residence - Kothrud 0045,Residence,"29, College Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.514464,73.803733,Medium
LOC000046,Synthetic Residence - Bhosari 0046,Residence,"827, College Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.626163,73.853905,High
LOC000047,Synthetic Other - Viman Nagar 0047,Other,"142, Temple Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.5603,73.92036,Low
LOC000048,Synthetic Warehouse - Shivajinagar 0048,Warehouse,"835, Canal Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.529963,73.847258,Low
LOC000049,Synthetic Residence - Hadapsar 0049,Residence,"946, Link Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.516728,73.933,Low
LOC000050,Synthetic Transport Hub - Kothrud 0050,Transport Hub,"772, Market Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.499579,73.803623,Low
LOC000051,Synthetic Residence - Dhankawadi 0051,Residence,"505, College Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.459378,73.84778,Low
LOC000052,Synthetic Police Station - Wakad,Police Station,"784, Park Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.606754,73.770363,Low
LOC000053,Synthetic Bank - Swargate 0053,Bank,"582, Industrial Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.507959,73.863356,Medium
LOC000054,Synthetic Other - Kondhwa 0054,Other,"673, Industrial Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.465736,73.894027,Medium
LOC000055,Synthetic Workplace - Wakad 0055,Workplace,"960, Park Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.599541,73.766656,Medium
LOC000056,Synthetic Police Station - Katraj,Police Station,"680, College Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.4482,73.861704,Medium
LOC000057,Synthetic Bank - Chinchwad 0057,Bank,"802, Link Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.6321,73.806372,Medium
LOC000058,Synthetic Restaurant - Hadapsar 0058,Restaurant,"477, Park Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.5023,73.933618,Low
LOC000059,Synthetic Other - Katraj 0059,Other,"587, Market Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.447847,73.869964,High
LOC000060,Synthetic Hotel - Katraj 0060,Hotel,"580, Station Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.457703,73.862324,Low
LOC000061,Synthetic Workplace - Kothrud 0061,Workplace,"242, Nagar Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.501816,73.812499,Medium
LOC000062,Synthetic Residence - Shivajinagar 0062,Residence,"416, Link Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.535584,73.839271,Medium
LOC000063,Synthetic Crime Scene - Swargate 0063,Crime Scene,"964, Station Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.494375,73.867352,Medium
LOC000064,Synthetic Workplace - Katraj 0064,Workplace,"761, Temple Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.460793,73.861075,High
LOC000065,Synthetic Hotel - Yerawada 0065,Hotel,"533, Link Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.555949,73.876611,Low
LOC000066,Synthetic Residence - Chinchwad 0066,Residence,"416, Temple Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.628366,73.799568,Low
LOC000067,Synthetic Meeting Point - Aundh 0067,Meeting Point,"476, Industrial Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.555892,73.805825,Low
LOC000068,Synthetic Restaurant - Chinchwad 0068,Restaurant,"827, Market Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.630448,73.804024,Low
LOC000069,Synthetic Residence - Wakad 0069,Residence,"433, Canal Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.599104,73.763296,Medium
LOC000070,Synthetic Transport Hub - Bhosari 0070,Transport Hub,"713, Market Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.624552,73.844521,Low
LOC000071,Synthetic Residence - Vishrantwadi 0071,Residence,"254, Station Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.565958,73.872627,Low
LOC000072,Synthetic Meeting Point - Aundh 0072,Meeting Point,"864, Park Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.551775,73.808937,Medium
LOC000073,Synthetic Workplace - Pimpri 0073,Workplace,"621, Main Road, Pimpri, Pune",Pimpri,Pune,Pune,Maharashtra,411018,18.635573,73.804008,Low
LOC000074,Synthetic Residence - Chinchwad 0074,Residence,"275, Nagar Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.62434,73.804952,Low
LOC000075,Synthetic Warehouse - Pimpri 0075,Warehouse,"670, Station Road, Pimpri, Pune",Pimpri,Pune,Pune,Maharashtra,411018,18.622775,73.804397,Low
LOC000076,Synthetic Other - Swargate 0076,Other,"211, Park Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.499416,73.868575,Medium
LOC000077,Synthetic Hotel - Vishrantwadi 0077,Hotel,"300, College Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.561598,73.883827,Low
LOC000078,Synthetic Workplace - Yerawada 0078,Workplace,"538, Market Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.550626,73.878133,Low
LOC000079,Synthetic Residence - Chinchwad 0079,Residence,"146, Park Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.634756,73.792463,Low
LOC000080,Synthetic Transport Hub - Wakad 0080,Transport Hub,"555, Nagar Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.595908,73.761818,Low
LOC000081,Synthetic Restaurant - Swargate 0081,Restaurant,"961, Nagar Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.498577,73.870928,Low
LOC000082,Synthetic Hotel - Yerawada 0082,Hotel,"240, Station Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.541001,73.873741,Low
LOC000083,Synthetic Warehouse - Viman Nagar 0083,Warehouse,"404, College Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.570473,73.910542,Medium
LOC000084,Synthetic Warehouse - Wakad 0084,Warehouse,"848, Link Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.591775,73.766118,Medium
LOC000085,Synthetic Residence - Kondhwa 0085,Residence,"746, Nagar Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.475103,73.897924,Medium
LOC000086,Synthetic Workplace - Wakad 0086,Workplace,"780, Main Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.598548,73.758931,Medium
LOC000087,Synthetic Bank - Hadapsar 0087,Bank,"579, College Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.502134,73.92537,Medium
LOC000088,Synthetic Police Station - Hadapsar,Police Station,"896, Park Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.502173,73.93121,Low
LOC000089,Synthetic Transport Hub - Bhosari 0089,Transport Hub,"119, Station Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.631537,73.85044,Low
LOC000090,Synthetic Workplace - Kondhwa 0090,Workplace,"188, Main Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.469251,73.888418,Medium
LOC000091,Synthetic Residence - Baner 0091,Residence,"418, Main Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.559025,73.794499,Medium
LOC000092,Synthetic Bank - Dhankawadi 0092,Bank,"371, Main Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.462487,73.853839,Low
LOC000093,Synthetic Residence - Swargate 0093,Residence,"773, Main Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.49403,73.856896,Medium
LOC000094,Synthetic Meeting Point - Kothrud 0094,Meeting Point,"659, Main Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.514279,73.801047,Low
LOC000095,Synthetic Workplace - Viman Nagar 0095,Workplace,"784, Park Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.562329,73.906853,Low
LOC000096,Synthetic Restaurant - Aundh 0096,Restaurant,"770, Nagar Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.563392,73.807496,Low
LOC000097,Synthetic Residence - Hadapsar 0097,Residence,"107, Park Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.505453,73.927006,Low
LOC000098,Synthetic Crime Scene - Wakad 0098,Crime Scene,"566, Nagar Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.593077,73.761481,Medium
LOC000099,Synthetic Meeting Point - Pimpri 0099,Meeting Point,"278, Nagar Road, Pimpri, Pune",Pimpri,Pune,Pune,Maharashtra,411018,18.623201,73.792391,Medium
LOC000100,Synthetic Transport Hub - Dhankawadi 0100,Transport Hub,"214, Temple Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.464834,73.85299,Medium
LOC000101,Synthetic Residence - Hadapsar 0101,Residence,"937, Nagar Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.50498,73.921704,Low
LOC000102,Synthetic Police Station - Shivajinagar,Police Station,"365, Canal Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.535904,73.850056,Low
LOC000103,Synthetic Police Station - Aundh,Police Station,"159, Industrial Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.562558,73.813625,Medium
LOC000104,Synthetic Police Station - Viman Nagar,Police Station,"337, Market Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.565485,73.915931,Medium
LOC000105,Synthetic Workplace - Yerawada 0105,Workplace,"490, Main Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.548457,73.872329,Low
LOC000106,Synthetic Workplace - Baner 0106,Workplace,"336, Main Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.564499,73.780487,Medium
LOC000107,Synthetic Residence - Aundh 0107,Residence,"943, Station Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.561583,73.806591,Low
LOC000108,Synthetic Workplace - Bhosari 0108,Workplace,"932, Temple Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.621844,73.843901,Low
LOC000109,Synthetic Workplace - Viman Nagar 0109,Workplace,"504, Park Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.566737,73.918496,Low
LOC000110,Synthetic Bank - Vishrantwadi 0110,Bank,"116, College Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.565281,73.877716,Low
LOC000111,Synthetic Transport Hub - Wakad 0111,Transport Hub,"821, Link Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.591689,73.765632,Low
LOC000112,Synthetic Workplace - Shivajinagar 0112,Workplace,"572, Park Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.526718,73.851857,Medium
LOC000113,Synthetic Workplace - Kothrud 0113,Workplace,"286, Park Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.503566,73.800012,Medium
LOC000114,Synthetic Meeting Point - Shivajinagar 0114,Meeting Point,"473, Park Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.524214,73.843767,Low
LOC000115,Synthetic Workplace - Katraj 0115,Workplace,"753, Industrial Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.450766,73.86437,Medium
LOC000116,Synthetic Residence - Viman Nagar 0116,Residence,"359, Main Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.571304,73.921485,Low
LOC000117,Synthetic Warehouse - Vishrantwadi 0117,Warehouse,"210, Station Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.563937,73.876879,Medium
LOC000118,Synthetic Police Station - Viman Nagar,Police Station,"634, Canal Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.563375,73.914243,Low
LOC000119,Synthetic Residence - Vishrantwadi 0119,Residence,"992, Station Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.573598,73.874652,Low
LOC000120,Synthetic Meeting Point - Katraj 0120,Meeting Point,"774, Market Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.457472,73.868504,Low
LOC000121,Synthetic Workplace - Kondhwa 0121,Workplace,"213, Temple Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.463796,73.884025,Low
LOC000122,Synthetic Residence - Baner 0122,Residence,"887, Park Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.565676,73.781951,Medium
LOC000123,Synthetic Meeting Point - Aundh 0123,Meeting Point,"952, Canal Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.554914,73.810548,Medium
LOC000124,Synthetic Other - Dhankawadi 0124,Other,"500, College Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.472474,73.856111,Low
LOC000125,Synthetic Bank - Swargate 0125,Bank,"153, Industrial Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.49607,73.871157,Medium
LOC000126,Synthetic Meeting Point - Swargate 0126,Meeting Point,"362, Station Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.508386,73.862805,Medium
LOC000127,Synthetic Meeting Point - Baner 0127,Meeting Point,"583, Industrial Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.554806,73.787434,Low
LOC000128,Synthetic Hotel - Swargate 0128,Hotel,"37, Station Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.507793,73.860097,Low
LOC000129,Synthetic Residence - Chinchwad 0129,Residence,"760, College Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.628423,73.794098,High
LOC000130,Synthetic Warehouse - Aundh 0130,Warehouse,"927, Park Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.557595,73.804577,Medium
LOC000131,Synthetic Meeting Point - Hadapsar 0131,Meeting Point,"81, College Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.50452,73.92814,Low
LOC000132,Synthetic Meeting Point - Aundh 0132,Meeting Point,"124, Industrial Road, Aundh, Pune",Aundh,Pune,Pune,Maharashtra,411007,18.553944,73.812296,Low
LOC000133,Synthetic Bank - Pimpri 0133,Bank,"328, Park Road, Pimpri, Pune",Pimpri,Pune,Pune,Maharashtra,411018,18.628593,73.803039,High
LOC000134,Synthetic Restaurant - Yerawada 0134,Restaurant,"785, Market Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.554354,73.879497,Low
LOC000135,Synthetic Workplace - Viman Nagar 0135,Workplace,"315, Nagar Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.575389,73.918393,Low
LOC000136,Synthetic Bank - Vishrantwadi 0136,Bank,"606, Canal Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.56588,73.870939,Low
LOC000137,Synthetic Bank - Yerawada 0137,Bank,"514, Park Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.545524,73.884877,Low
LOC000138,Synthetic Meeting Point - Kothrud 0138,Meeting Point,"118, Canal Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.504926,73.805297,Low
LOC000139,Synthetic Residence - Viman Nagar 0139,Residence,"29, Temple Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.570485,73.911037,Low
LOC000140,Synthetic Crime Scene - Viman Nagar 0140,Crime Scene,"147, Link Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.567848,73.908156,Low
LOC000141,Synthetic Warehouse - Chinchwad 0141,Warehouse,"144, Main Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.621822,73.798644,Low
LOC000142,Synthetic Bank - Kothrud 0142,Bank,"931, Park Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.51184,73.813982,Medium
LOC000143,Synthetic Police Station - Chinchwad,Police Station,"684, Park Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.632374,73.805982,Medium
LOC000144,Synthetic Restaurant - Wakad 0144,Restaurant,"455, Park Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.60339,73.760202,Low
LOC000145,Synthetic Workplace - Kondhwa 0145,Workplace,"824, Industrial Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.464712,73.896752,Medium
LOC000146,Synthetic Meeting Point - Wakad 0146,Meeting Point,"97, Link Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.592167,73.762287,Medium
LOC000147,Synthetic Crime Scene - Vishrantwadi 0147,Crime Scene,"198, Park Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.571832,73.872825,Medium
LOC000148,Synthetic Residence - Bhosari 0148,Residence,"439, Station Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.632437,73.842393,Low
LOC000149,Synthetic Restaurant - Kothrud 0149,Restaurant,"355, Link Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.504805,73.809894,Low
LOC000150,Synthetic Meeting Point - Dhankawadi 0150,Meeting Point,"982, Park Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.468416,73.854752,Low
LOC000151,Synthetic Bank - Vishrantwadi 0151,Bank,"44, Nagar Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.572943,73.879718,Low
LOC000152,Synthetic Crime Scene - Chinchwad 0152,Crime Scene,"844, Temple Road, Chinchwad, Pune",Chinchwad,Pune,Pune,Maharashtra,411033,18.631655,73.7936,Low
LOC000153,Synthetic Other - Kondhwa 0153,Other,"661, Industrial Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.465022,73.895183,Medium
LOC000154,Synthetic Workplace - Shivajinagar 0154,Workplace,"56, Market Road, Shivajinagar, Pune",Shivajinagar,Pune,Pune,Maharashtra,411005,18.538457,73.854813,Low
LOC000155,Synthetic Other - Bhosari 0155,Other,"534, Nagar Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.626005,73.853509,Medium
LOC000156,Synthetic Residence - Yerawada 0156,Residence,"315, Nagar Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.554946,73.871132,High
LOC000157,Synthetic Police Station - Kondhwa,Police Station,"304, Link Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.466899,73.897465,Low
LOC000158,Synthetic Other - Baner 0158,Other,"456, Temple Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.556224,73.792526,Low
LOC000159,Synthetic Residence - Hadapsar 0159,Residence,"744, Industrial Road, Hadapsar, Pune",Hadapsar,Pune,Pune,Maharashtra,411028,18.513229,73.928666,Low
LOC000160,Synthetic Bank - Swargate 0160,Bank,"62, Temple Road, Swargate, Pune",Swargate,Pune,Pune,Maharashtra,411037,18.507536,73.86116,Low
