record_id,person_id,entity_id
R000171,P004844,E004844
R000172,P000416,E000416
R000173,P004000,E004000
R000174,P005036,E005036
R000175,P000728,E000728
R000176,P003924,E003924
R000177,P003451,E003451
R000178,P006410,E006410
R000179,P003072,E003072
R000180,P002902,E002902
R000181,P002338,E002338
R000182,P005400,E005400
R000183,P005639,E005639
R000184,P002553,E002553
R000185,P002107,E002107
R000186,P005422,E005422
R000187,P001542,E001542
R000188,P002963,E002963
R000189,P004383,E004383
R000190,P001722,E001722
R000191,P005396,E005396
R000192,P004483,E004483
R000193,P002231,E002231
R000194,P005457,E005457
R000195,P005925,E005925
R000196,P000288,E000288
R000197,P002406,E002406
R000198,P002756,E002756
R000199,P005487,E005487
R000200,P000242,E000242
R000201,P001129,E001129
R000202,P004538,E004538
R000203,P003912,E003912
R000204,P005513,E005513
R000205,P006959,E006959
R000206,P003876,E003876
R000207,P003199,E003199
R000208,P003715,E003715
R000209,P006848,E006848
R000210,P006345,E006345
R000211,P000761,E000761
R000212,P002516,E002516
R000213,P004610,E004610
R000214,P003363,E003363
R000215,P002297,E002297
R000216,P002841,E002841
R000217,P004523,E004523
R000218,P004896,E004896
R000219,P005197,E005197
R000220,P001017,E001017
R000221,P005968,E005968
R000222,P004368,E004368
R000223,P005921,E005921
R000224,P003873,E003873
R000225,P000978,E000978
R000226,P006469,E006469
R000227,P004487,E004487
R000228,P003743,E003743
R000229,P000202,E000202
R000230,P000348,E000348
R000231,P001862,E001862
R000232,P000189,E000189
R000233,P006340,E006340
R000234,P003393,E003393
R000235,P001381,E001381
R000236,P003519,E003519
R000237,P002184,E002184
R000238,P003667,E003667
R000239,P000837,E000837
R000240,P004824,E004824
R000241,P003698,E003698
R000242,P001580,E001580
R000243,P001019,E001019
R000244,P006117,E006117
R000245,P004360,E004360
R000246,P002763,E002763
R000247,P004768,E004768
R000248,P002968,E002968
R000249,P005584,E005584
R000250,P001885,E001885
R000251,P000841,E000841
R000252,P000664,E000664
R000253,P004123,E004123
R000254,P000802,E000802
R000255,P001460,E001460
R000256,P005172,E005172
R000257,P001661,E001661
R000258,P005604,E005604
R000259,P004925,E004925
R000260,P006197,E006197
R000261,P000259,E000259
R000262,P005587,E005587
R000263,P002245,E002245
R000264,P003406,E003406
R000265,P002863,E002863
R000266,P002461,E002461
R000267,P000637,E000637
R000268,P005326,E005326
R000269,P003428,E003428
R000270,P000048,E000048
R000271,P000964,E000964
R000272,P001642,E001642
R000273,P003013,E003013
R000274,P000976,E000976
R000275,P000676,E000676
R000276,P005833,E005833
R000277,P002113,E002113
R000278,P003216,E003216
R000279,P002321,E002321
R000280,P000462,E000462
R000281,P001417,E001417
R000282,P004868,E004868
R000283,P002227,E002227
R000284,P000450,E000450
R000285,P003910,E003910
R000286,P002276,E002276
R000287,P004031,E004031
R000288,P005247,E005247
R000289,P005722,E005722
R000290,P006103,E006103
R000291,P004238,E004238
R000292,P006039,E006039
R000293,P006494,E006494
R000294,P004990,E004990
R000295,P003402,E003402
R000296,P003857,E003857
R000297,P006976,E006976
R000298,P000603,E000603
R000299,P003229,E003229
R000300,P006259,E006259
R000301,P002093,E002093
R000302,P001292,E001292
R000303,P002237,E002237
R000304,P006529,E006529
R000305,P001066,E001066
R000306,P002056,E002056
R000307,P003423,E003423
R000308,P003370,E003370
R000309,P006092,E006092
R000310,P004542,E004542
R000311,P001881,E001881
R000312,P002583,E002583
R000313,P001825,E001825
R000314,P001014,E001014
R000315,P000752,E000752
R000316,P004401,E004401
R000317,P001835,E001835
R000318,P003171,E003171
R000319,P005554,E005554
R000320,P002219,E002219
R000321,P006909,E006909
R000322,P000715,E000715
R000323,P003562,E003562
R000324,P006257,E006257
R000325,P000682,E000682
R000326,P004326,E004326
R000327,P001972,E001972
R000328,P000667,E000667
R000329,P005733,E005733
R000330,P002783,E002783
R000331,P005746,E005746
R000332,P003935,E003935
R000333,P004565,E004565
R000334,P006528,E006528
R000335,P003754,E003754
R000336,P004630,E004630
R000337,P003401,E003401
R000338,P002725,E002725
R000339,P004470,E004470
R000340,P002079,E002079
R000341,P000778,E000778
R000342,P005099,E005099
R000343,P001016,E001016
R000344,P003886,E003886
R000345,P004866,E004866
R000346,P004077,E004077
R000347,P006914,E006914
R000348,P002533,E002533
R000349,P003185,E003185
R000350,P003323,E003323
R000351,P003116,E003116
R000352,P001481,E001481
R000353,P002682,E002682
R000354,P006025,E006025
R000355,P006202,E006202
R000356,P000456,E000456
R000357,P005876,E005876
R000358,P002259,E002259
R000359,P004582,E004582
R000360,P001633,E001633
R000361,P003312,E003312
R000362,P003684,E003684
R000363,P003604,E003604
R000364,P004891,E004891
R000365,P005232,E005232
R000366,P006068,E006068
R000367,P001709,E001709
R000368,P003354,E003354
R000369,P003895,E003895
R000370,P000354,E000354
R000371,P002130,E002130
R000372,P005694,E005694
R000373,P002506,E002506
R000374,P002081,E002081
R000375,P001807,E001807
R000376,P004724,E004724
R000377,P004855,E004855
R000378,P005421,E005421
R000379,P005632,E005632
R000380,P002644,E002644
R000381,P002102,E002102
R000382,P005333,E005333
R000383,P003844,E003844
R000384,P003949,E003949
R000385,P000965,E000965
R000386,P000142,E000142
R000387,P005591,E005591
R000388,P000422,E000422
R000389,P001314,E001314
R000390,P005126,E005126
R000391,P001519,E001519
R000392,P006020,E006020
R000393,P004121,E004121
R000394,P003189,E003189
R000395,P005827,E005827
R000396,P001880,E001880
R000397,P006730,E006730
R000398,P005547,E005547
R000399,P000176,E000176
R000400,P002052,E002052
R000401,P002588,E002588
R000402,P004627,E004627
R000403,P006406,E006406
R000404,P006975,E006975
R000405,P005038,E005038
R000406,P005983,E005983
R000407,P000788,E000788
R000408,P003584,E003584
R000409,P003647,E003647
R000410,P004241,E004241
R000411,P004072,E004072
R000412,P000814,E000814
R000413,P000399,E000399
R000414,P001842,E001842
R000415,P005044,E005044
R000416,P001919,E001919
R000417,P005372,E005372
R000418,P003706,E003706
R000419,P006450,E006450
R000420,P006217,E006217
R000421,P003688,E003688
R000422,P003244,E003244
R000423,P006773,E006773
R000424,P000292,E000292
R000425,P000455,E000455
R000426,P002086,E002086
R000427,P002446,E002446
R000428,P000221,E000221
R000429,P000859,E000859
R000430,P004431,E004431
R000431,P002470,E002470
R000432,P003007,E003007
R000433,P001368,E001368
R000434,P001148,E001148
R000435,P000819,E000819
R000436,P002267,E002267
R000437,P003023,E003023
R000438,P001583,E001583
R000439,P005480,E005480
R000440,P003537,E003537
R000441,P006191,E006191
R000442,P002543,E002543
R000443,P000933,E000933
R000444,P001487,E001487
R000445,P001587,E001587
R000446,P005883,E005883
R000447,P001766,E001766
R000448,P003101,E003101
R000449,P006701,E006701
R000450,P005298,E005298
R000451,P000251,E000251
R000452,P001095,E001095
R000453,P005139,E005139
R000454,P002141,E002141
R000455,P004600,E004600
R000456,P003021,E003021
R000457,P005100,E005100
R000458,P004725,E004725
R000459,P005446,E005446
R000460,P001128,E001128
R000461,P001535,E001535
R000462,P003480,E003480
R000463,P005891,E005891
R000464,P006918,E006918
R000465,P001885,E001885
R000466,P001350,E001350
R000467,P000612,E000612
R000468,P003569,E003569
R000469,P002609,E002609
R000470,P002180,E002180
R000471,P003905,E003905
R000472,P003894,E003894
R000473,P002925,E002925
R000474,P002991,E002991
R000475,P001189,E001189
R000476,P005856,E005856
R000477,P004503,E004503
R000478,P004477,E004477
R000479,P001411,E001411
R000480,P004388,E004388
R000481,P000440,E000440
R000482,P005309,E005309
R000483,P004675,E004675
R000484,P004721,E004721
R000485,P005821,E005821
R000486,P004459,E004459
R000487,P002616,E002616
R000488,P005440,E005440
R000489,P006428,E006428
R000490,P002799,E002799
R000491,P000632,E000632
R000492,P005598,E005598
R000493,P002621,E002621
R000494,P004712,E004712
R000495,P003135,E003135
R000496,P004865,E004865
R000497,P000271,E000271
R000498,P001197,E001197
R000499,P002004,E002004
R000500,P005357,E005357
R000501,P000402,E000402
R000502,P005648,E005648
R000503,P004223,E004223
R000504,P002150,E002150
R000505,P004202,E004202
R000506,P004394,E004394
R000507,P006096,E006096
R000508,P003811,E003811
R000509,P000220,E000220
R000510,P006267,E006267
R000511,P003777,E003777
R000512,P006557,E006557
R000513,P003620,E003620
R000514,P002635,E002635
R000515,P004370,E004370
R000516,P002397,E002397
R000517,P002962,E002962
R000518,P000140,E000140
R000519,P000866,E000866
R000520,P004701,E004701
R000521,P005290,E005290
R000522,P001852,E001852
R000523,P006038,E006038
R000524,P005737,E005737
R000525,P002785,E002785
R000526,P001346,E001346
R000527,P005380,E005380
R000528,P000998,E000998
R000529,P002986,E002986
R000530,P005475,E005475
R000531,P001431,E001431
R000532,P000357,E000357
R000533,P000674,E000674
R000534,P000607,E000607
R000535,P002808,E002808
R000536,P005680,E005680
R000537,P000923,E000923
R000538,P006812,E006812
R000539,P006005,E006005
R000540,P006190,E006190
R000541,P002786,E002786
R000542,P003623,E003623
R000543,P000006,E000006
R000544,P002853,E002853
R000545,P004589,E004589
R000546,P000167,E000167
R000547,P001406,E001406
R000548,P001572,E001572
R000549,P004689,E004689
R000550,P003333,E003333
R000551,P002635,E002635
R000552,P004669,E004669
R000553,P006752,E006752
R000554,P001665,E001665
R000555,P000683,E000683
R000556,P000131,E000131
R000557,P006162,E006162
R000558,P006878,E006878
R000559,P000373,E000373
R000560,P006403,E006403
R000561,P005120,E005120
R000562,P001681,E001681
R000563,P004881,E004881
R000564,P003387,E003387
R000565,P003047,E003047
R000566,P005945,E005945
R000567,P004205,E004205
R000568,P003133,E003133
R000569,P003055,E003055
R000570,P000856,E000856
R000571,P004281,E004281
R000572,P001209,E001209
R000573,P001450,E001450
R000574,P000138,E000138
R000575,P003074,E003074
R000576,P006055,E006055
R000577,P002915,E002915
R000578,P004110,E004110
R000579,P000249,E000249
R000580,P003167,E003167
R000581,P006887,E006887
R000582,P002138,E002138
R000583,P006985,E006985
R000584,P001194,E001194
R000585,P000620,E000620
R000586,P003746,E003746
R000587,P006572,E006572
R000588,P003845,E003845
R000589,P001659,E001659
R000590,P000003,E000003
R000591,P006006,E006006
R000592,P004897,E004897
R000593,P001196,E001196
R000594,P004827,E004827
R000595,P000738,E000738
R000596,P001092,E001092
R000597,P005711,E005711
R000598,P000512,E000512
R000599,P006591,E006591
R000600,P000272,E000272
R000601,P002360,E002360
R000602,P000916,E000916
R000603,P006510,E006510
R000604,P005766,E005766
R000605,P006517,E006517
R000606,P000032,E000032
R000607,P002003,E002003
R000608,P000134,E000134
R000609,P001144,E001144
R000610,P005442,E005442
R000611,P003553,E003553
R000612,P001877,E001877
R000613,P005292,E005292
R000614,P002041,E002041
R000615,P000189,E000189
R000616,P001053,E001053
R000617,P005730,E005730
R000618,P005373,E005373
R000619,P004172,E004172
R000620,P006304,E006304
R000621,P001199,E001199
R000622,P006670,E006670
R000623,P004099,E004099
R000624,P006476,E006476
R000625,P000246,E000246
R000626,P006789,E006789
R000627,P002422,E002422
R000628,P001367,E001367
R000629,P000998,E000998
R000630,P002268,E002268
R000631,P003057,E003057
R000632,P006214,E006214
R000633,P002421,E002421
R000634,P000543,E000543
R000635,P005317,E005317
R000636,P005804,E005804
R000637,P002256,E002256
R000638,P002439,E002439
R000639,P004020,E004020
R000640,P004938,E004938
R000641,P004185,E004185
R000642,P002412,E002412
R000643,P004312,E004312
R000644,P000999,E000999
R000645,P003635,E003635
R000646,P004105,E004105
R000647,P001796,E001796
R000648,P001691,E001691
R000649,P006189,E006189
R000650,P002073,E002073
R000651,P000887,E000887
R000652,P001060,E001060
R000653,P006280,E006280
R000654,P005990,E005990
R000655,P000779,E000779
R000656,P001176,E001176
R000657,P006485,E006485
R000658,P003290,E003290
R000659,P000446,E000446
R000660,P006555,E006555
R000661,P002483,E002483
R000662,P004781,E004781
R000663,P002019,E002019
R000664,P006737,E006737
R000665,P003201,E003201
R000666,P001153,E001153
R000667,P002200,E002200
R000668,P003641,E003641
R000669,P004536,E004536
R000670,P004025,E004025
R000671,P004848,E004848
R000672,P006974,E006974
R000673,P006514,E006514
R000674,P003440,E003440
R000675,P002487,E002487
R000676,P000943,E000943
R000677,P006564,E006564
R000678,P001578,E001578
R000679,P004546,E004546
R000680,P001026,E001026
R000681,P005429,E005429
R000682,P003947,E003947
R000683,P006083,E006083
R000684,P004623,E004623
R000685,P003042,E003042
R000686,P002725,E002725
R000687,P001797,E001797
R000688,P005510,E005510
R000689,P003860,E003860
R000690,P004621,E004621
R000691,P001085,E001085
R000692,P005928,E005928
R000693,P003263,E003263
R000694,P005998,E005998
R000695,P001084,E001084
R000696,P004590,E004590
R000697,P002807,E002807
R000698,P001226,E001226
R000699,P002691,E002691
R000700,P004858,E004858
R000701,P002264,E002264
R000702,P001855,E001855
R000703,P003272,E003272
R000704,P002790,E002790
R000705,P006723,E006723
R000706,P002763,E002763
R000707,P003475,E003475
R000708,P001654,E001654
R000709,P000315,E000315
R000710,P006211,E006211
R000711,P006782,E006782
R000712,P004169,E004169
R000713,P000125,E000125
R000714,P001652,E001652
R000715,P004148,E004148
R000716,P006583,E006583
R000717,P004399,E004399
R000718,P004403,E004403
R000719,P000539,E000539
R000720,P006584,E006584
R000721,P002502,E002502
R000722,P003893,E003893
R000723,P006734,E006734
R000724,P001734,E001734
R000725,P001486,E001486
R000726,P000001,E000001
R000727,P002669,E002669
R000728,P002088,E002088
R000729,P004376,E004376
R000730,P004257,E004257
R000731,P002935,E002935
R000732,P006748,E006748
R000733,P005098,E005098
R000734,P002590,E002590
R000735,P006956,E006956
R000736,P002294,E002294
R000737,P000313,E000313
R000738,P000898,E000898
R000739,P006882,E006882
R000740,P003320,E003320
R000741,P006282,E006282
R000742,P005003,E005003
R000743,P004395,E004395
R000744,P000457,E000457
R000745,P003557,E003557
R000746,P004174,E004174
R000747,P000912,E000912
R000748,P001412,E001412
R000749,P001135,E001135
R000750,P002919,E002919
R000751,P000652,E000652
R000752,P000557,E000557
R000753,P006900,E006900
R000754,P001247,E001247
R000755,P000054,E000054
R000756,P001636,E001636
R000757,P005381,E005381
R000758,P003848,E003848
R000759,P006100,E006100
R000760,P002794,E002794
R000761,P001809,E001809
R000762,P005582,E005582
R000763,P000769,E000769
R000764,P000941,E000941
R000765,P004428,E004428
R000766,P005706,E005706
R000767,P003131,E003131
R000768,P004498,E004498
R000769,P001975,E001975
R000770,P003166,E003166
R000771,P002138,E002138
R000772,P002249,E002249
R000773,P006053,E006053
R000774,P003848,E003848
R000775,P004822,E004822
R000776,P003653,E003653
R000777,P006379,E006379
R000778,P003002,E003002
R000779,P002721,E002721
R000780,P002751,E002751
R000781,P001341,E001341
R000782,P004318,E004318
R000783,P001535,E001535
R000784,P005195,E005195
R000785,P003701,E003701
R000786,P004999,E004999
R000787,P005149,E005149
R000788,P001035,E001035
R000789,P002065,E002065
R000790,P006607,E006607
R000791,P002909,E002909
R000792,P005211,E005211
R000793,P004208,E004208
R000794,P005842,E005842
R000795,P001346,E001346
R000796,P004289,E004289
R000797,P003412,E003412
R000798,P005576,E005576
R000799,P004536,E004536
R000800,P004288,E004288
R000801,P005228,E005228
R000802,P001748,E001748
R000803,P000517,E000517
R000804,P002204,E002204
R000805,P004952,E004952
R000806,P004447,E004447
R000807,P004875,E004875
R000808,P002147,E002147
R000809,P003852,E003852
R000810,P002715,E002715
R000811,P000594,E000594
R000812,P006549,E006549
R000813,P000990,E000990
R000814,P003226,E003226
R000815,P001841,E001841
R000816,P002604,E002604
R000817,P002850,E002850
R000818,P005119,E005119
R000819,P004397,E004397
R000820,P001407,E001407
R000821,P002278,E002278
R000822,P001541,E001541
R000823,P001467,E001467
R000824,P004282,E004282
R000825,P000836,E000836
R000826,P004986,E004986
R000827,P002781,E002781
R000828,P006229,E006229
R000829,P004925,E004925
R000830,P003417,E003417
R000831,P006119,E006119
R000832,P000676,E000676
R000833,P003751,E003751
R000834,P001231,E001231
R000835,P004941,E004941
R000836,P004686,E004686
R000837,P003389,E003389
R000838,P002692,E002692
R000839,P000398,E000398
R000840,P003571,E003571
R000841,P001649,E001649
R000842,P000074,E000074
R000843,P000308,E000308
R000844,P000628,E000628
R000845,P002298,E002298
R000846,P005474,E005474
R000847,P002460,E002460
R000848,P001473,E001473
R000849,P002982,E002982
R000850,P000770,E000770
R000851,P006176,E006176
R000852,P000356,E000356
R000853,P000227,E000227
R000854,P001161,E001161
R000855,P003329,E003329
R000856,P006235,E006235
R000857,P005352,E005352
R000858,P001576,E001576
R000859,P005189,E005189
R000860,P004507,E004507
R000861,P006423,E006423
R000862,P001664,E001664
R000863,P002300,E002300
R000864,P003303,E003303
R000865,P006619,E006619
R000866,P002030,E002030
R000867,P002720,E002720
R000868,P003749,E003749
R000869,P000030,E000030
R000870,P000484,E000484
R000871,P000891,E000891
R000872,P003719,E003719
R000873,P005400,E005400
R000874,P001269,E001269
R000875,P005027,E005027
R000876,P005427,E005427
R000877,P006944,E006944
R000878,P003547,E003547
R000879,P001780,E001780
R000880,P000781,E000781
R000881,P005351,E005351
R000882,P000235,E000235
R000883,P004946,E004946
R000884,P003362,E003362
R000885,P002185,E002185
R000886,P002091,E002091
R000887,P003113,E003113
R000888,P005049,E005049
R000889,P006998,E006998
R000890,P002552,E002552
R000891,P002069,E002069
R000892,P002302,E002302
R000893,P003392,E003392
R000894,P002006,E002006
R000895,P000233,E000233
R000896,P002608,E002608
R000897,P001746,E001746
R000898,P004330,E004330
R000899,P001459,E001459
R000900,P006746,E006746
R000901,P004044,E004044
R000902,P000805,E000805
R000903,P006293,E006293
R000904,P005210,E005210
R000905,P001803,E001803
R000906,P002494,E002494
R000907,P005540,E005540
R000908,P001938,E001938
R000909,P005383,E005383
R000910,P002122,E002122
R000911,P004275,E004275
R000912,P004599,E004599
R000913,P005458,E005458
R000914,P006195,E006195
R000915,P002976,E002976
R000916,P005874,E005874
R000917,P000686,E000686
R000918,P004169,E004169
R000919,P004059,E004059
R000920,P005725,E005725
R000921,P001892,E001892
R000922,P000785,E000785
R000923,P002817,E002817
R000924,P000548,E000548
R000925,P005938,E005938
R000926,P000652,E000652
R000927,P001602,E001602
R000928,P004338,E004338
R000929,P004931,E004931
R000930,P004958,E004958
R000931,P003987,E003987
R000932,P006538,E006538
R000933,P004911,E004911
R000934,P006289,E006289
R000935,P001928,E001928
R000936,P001149,E001149
R000937,P003073,E003073
R000938,P005714,E005714
R000939,P002134,E002134
R000940,P005291,E005291
R000941,P004985,E004985
R000942,P004871,E004871
R000943,P005818,E005818
R000944,P005688,E005688
R000945,P003593,E003593
R000946,P005880,E005880
R000947,P005184,E005184
R000948,P000276,E000276
R000949,P003479,E003479
R000950,P004924,E004924
R000951,P002072,E002072
R000952,P002021,E002021
R000953,P006022,E006022
R000954,P002698,E002698
R000955,P005908,E005908
R000956,P002819,E002819
R000957,P005983,E005983
R000958,P002568,E002568
R000959,P001127,E001127
R000960,P002070,E002070
R000961,P004805,E004805
R000962,P000452,E000452
R000963,P005063,E005063
R000964,P002033,E002033
R000965,P000156,E000156
R000966,P003056,E003056
R000967,P001109,E001109
R000968,P005829,E005829
R000969,P002222,E002222
R000970,P001134,E001134
R000971,P002497,E002497
R000972,P001354,E001354
R000973,P002218,E002218
R000974,P004834,E004834
R000975,P001392,E001392
R000976,P001617,E001617
R000977,P004768,E004768
R000978,P003821,E003821
R000979,P006620,E006620
R000980,P003071,E003071
R000981,P000482,E000482
R000982,P006898,E006898
R000983,P003102,E003102
R000984,P001923,E001923
R000985,P006126,E006126
R000986,P006543,E006543
R000987,P000801,E000801
R000988,P001273,E001273
R000989,P006123,E006123
R000990,P003630,E003630
R000991,P000234,E000234
R000992,P006768,E006768
R000993,P003357,E003357
R000994,P006664,E006664
R000995,P006461,E006461
R000996,P004566,E004566
R000997,P003622,E003622
R000998,P002174,E002174
R000999,P005125,E005125
R001000,P004878,E004878
R001001,P006985,E006985
R001002,P002955,E002955
R001003,P001987,E001987
R001004,P002137,E002137
R001005,P000057,E000057
R001006,P000841,E000841
R001007,P005739,E005739
R001008,P002388,E002388
R001009,P005464,E005464
R001010,P003176,E003176
R001011,P006445,E006445
R001012,P001755,E001755
R001013,P004781,E004781
R001014,P006136,E006136
R001015,P006756,E006756
R001016,P006169,E006169
R001017,P004414,E004414
R001018,P003891,E003891
R001019,P005985,E005985
R001020,P000599,E000599
R001021,P002463,E002463
R001022,P005759,E005759
R001023,P000843,E000843
R001024,P002111,E002111
R001025,P000541,E000541
R001026,P000750,E000750
R001027,P004862,E004862
R001028,P006931,E006931
R001029,P006898,E006898
R001030,P006377,E006377
R001031,P000736,E000736
R001032,P000633,E000633
R001033,P004118,E004118
R001034,P000716,E000716
R001035,P002792,E002792
R001036,P003874,E003874
R001037,P006783,E006783
R001038,P003822,E003822
R001039,P004052,E004052
R001040,P001591,E001591
R001041,P002408,E002408
R001042,P003909,E003909
R001043,P002757,E002757
R001044,P002697,E002697
R001045,P003157,E003157
R001046,P004688,E004688
R001047,P006713,E006713
R001048,P004618,E004618
R001049,P005258,E005258
R001050,P002039,E002039
R001051,P003598,E003598
R001052,P006300,E006300
R001053,P006452,E006452
R001054,P000009,E000009
R001055,P004399,E004399
R001056,P004555,E004555
R001057,P005828,E005828
R001058,P002271,E002271
R001059,P004581,E004581
R001060,P000077,E000077
R001061,P006475,E006475
R001062,P002814,E002814
R001063,P003230,E003230
R001064,P001926,E001926
R001065,P001614,E001614
R001066,P002312,E002312
R001067,P004267,E004267
R001068,P006877,E006877
R001069,P004956,E004956
R001070,P002383,E002383
R001071,P001465,E001465
R001072,P000569,E000569
R001073,P003597,E003597
R001074,P005910,E005910
R001075,P000971,E000971
R001076,P000862,E000862
R001077,P006571,E006571
R001078,P005504,E005504
R001079,P006947,E006947
R001080,P005128,E005128
R001081,P004772,E004772
R001082,P001560,E001560
R001083,P000307,E000307
R001084,P006306,E006306
R001085,P002206,E002206
R001086,P006820,E006820
R001087,P006418,E006418
R001088,P002937,E002937
R001089,P004985,E004985
R001090,P000390,E000390
R001091,P004396,E004396
R001092,P003450,E003450
R001093,P001594,E001594
R001094,P002686,E002686
R001095,P003561,E003561
R001096,P003369,E003369
R001097,P000270,E000270
R001098,P001839,E001839
R001099,P000430,E000430
R001100,P000542,E000542
R001101,P001724,E001724
R001102,P001355,E001355
R001103,P000526,E000526
R001104,P004517,E004517
R001105,P001846,E001846
R001106,P006973,E006973
R001107,P001817,E001817
R001108,P006716,E006716
R001109,P005878,E005878
R001110,P002967,E002967
R001111,P000661,E000661
R001112,P003900,E003900
R001113,P002264,E002264
R001114,P005736,E005736
R001115,P006762,E006762
R001116,P001332,E001332
R001117,P006436,E006436
R001118,P000489,E000489
R001119,P006509,E006509
R001120,P003916,E003916
R001121,P003483,E003483
R001122,P005987,E005987
R001123,P003396,E003396
R001124,P003742,E003742
R001125,P000984,E000984
R001126,P005764,E005764
R001127,P005651,E005651
R001128,P000734,E000734
R001129,P004651,E004651
R001130,P002842,E002842
R001131,P004709,E004709
R001132,P001437,E001437
R001133,P004928,E004928
R001134,P003036,E003036
R001135,P004921,E004921
R001136,P005251,E005251
R001137,P003989,E003989
R001138,P000561,E000561
R001139,P003466,E003466
R001140,P000376,E000376
R001141,P002958,E002958
R001142,P000771,E000771
R001143,P000379,E000379
R001144,P000960,E000960
R001145,P003798,E003798
R001146,P005234,E005234
R001147,P001954,E001954
R001148,P006946,E006946
R001149,P000747,E000747
R001150,P002223,E002223
R001151,P002557,E002557
R001152,P005233,E005233
R001153,P001287,E001287
R001154,P006861,E006861
R001155,P005438,E005438
R001156,P005255,E005255
R001157,P005530,E005530
R001158,P003629,E003629
R001159,P002627,E002627
R001160,P004646,E004646
R001161,P006037,E006037
R001162,P005424,E005424
R001163,P003732,E003732
R001164,P002732,E002732
